TCP,Derived Date,Deidre Date,Deidre Date Note
A00001,1593,,
A00002,1625,,
A00003,1623,,
A00005,1515,,
A00007,1528,,
A00008,1623,,
A00009,1590,,
A00011,1640,,
A00012,1623,,
A00013,1607,,
A00014,1624,,
A00015,1607,,
A00018,1558,,
A00019,1554,,
A00021,1599,,
A00024,1622,,
A00025,1613,,
A00026,1600,,
A00028,1635,,
A00033,1569,,
A00034,1622,,
A00044,1579,,
A00049,1622,,
A00060,1559,,
A00075,1597,,
A00089,1640,,
A00091,1538,,
A00092,1538,,
A00094,1538,,
A00102,1559,,
A00113,1554,,
A00116,1547,,
A00118,1547,,
A00120,1558,,
A00122,1561,,
A00123,1614,,
A00125,1562,,
A00126,1568,,
A00132,1577,,
A00136,1621,,
A00142,1607,,
A00149,1615,,
A00151,1633,,
A00153,1624,,
A00154,1548,,
A00155,1548,,
A00156,1624,,
A00157,1563,,
A00158,1577,,
A00159,1580,,
A00164,1626,,
A00165,1619,,
A00166,1631,,
A00167,1627,,
A00168,1580,,
A00170,1600,,
A00171,1631,,
A00173,1639,,
A00176,1573,,
A00177,1615,,
A00179,1565,,
A00181,1609,,
A00183,1618,,
A00184,1635,,
A00185,1592,,
A00186,1586,,
A00187,1639,,
A00188,1619,,
A00190,1632,,
A00191,1571,,
A00193,1580,,
A00198,1554,,
A00200,1630,,
A00201,1571,,
A00204,1589,,
A00206,1598,,
A00209,1591,,
A00211,1635,,
A00214,1640,,
A00215,1615,,
A00216,1617,,
A00218,1585,,
A00220,1615,,
A00222,1582,,
A00225,1633,,
A00227,1549,,
A00228,1561,,
A00229,1567,,
A00230,1605,,
A00231,1569,,
A00233,1636,,
A00234,1591,,
A00235,1635,,
A00240,1605,,
A00241,1607,,
A00244,1613,,
A00249,1588,,
A00250,1638,,
A00253,1583,,
A00254,1569,,
A00256,1619,,
A00257,1566,,
A00259,1593,,
A00260,1626,,
A00261,1547,,
A00263,1603,,
A00265,1609,,
A00267,1571,,
A00268,1577,,
A00269,1623,,
A00271,1589,,
A00272,1636,,
A00273,1554,,
A00274,1566,,
A00275,1566,,
A00276,1581,,
A00277,1566,,
A00278,1570,,
A00279,1566,,
A00280,1572,,
A00281,1574,,
A00282,1583,,
A00283,1584,,
A00284,1566,,
A00285,1630,,
A00286,1624,,
A00287,1621,,
A00288,1621,,
A00289,1640,,
A00290,1589,,
A00291,1639,,
A00292,1612,,
A00293,1640,,
A00294,1617,,
A00296,1626,,
A00297,1626,,
A00299,1532,,
A00301,1567,,
A00303,1610,,
A00307,1605,,
A00308,1556,,
A00309,1598,,
A00313,1621,,
A00316,1542,,
A00320,1534,,
A00321,1625,,
A00325,1519,,
A00327,1550,,
A00329,1534,,
A00331,1540,,
A00332,1557,,
A00333,1606,,
A00336,1550,,
A00337,1613,,
A00338,1545,,
A00341,1537,,
A00342,1559,,
A00344,1532,,
A00349,1560,,
A00350,1532,,
A00354,1537,,
A00356,1526,,
A00358,1531,,
A00361,1526,,
A00363,1533,,
A00364,1572,,
A00374,1545,,
A00375,1534,,
A00376,1547,,
A00377,1536,,
A00378,1529,,
A00380,1537,,
A00381,1535,,
A00382,1568,,
A00384,1549,,
A00386,1534,,
A00387,1534,,
A00389,1538,,
A00391,1543,,
A00392,1533,,
A00393,1536,,
A00394,1567,,
A00395,1640,,
A00397,1586,,
A00399,1627,,
A00400,1579,,
A00401,1596,,
A00402,1552,,
A00403,1608,,
A00404,1630,,
A00405,1611,,
A00406,1616,,
A00407,1609,,
A00408,1613,,
A00409,1614,,
A00410,1594,,
A00412,1584,,
A00414,1608,,
A00415,1603,,
A00419,1616,,
A00423,1581,,
A00425,1633,,
A00426,1639,,
A00428,1632,,
A00429,1570,,
A00430,1609,,
A00433,1519,,
A00437,1579,,
A00439,1625,,
A00440,1577,,
A00446,1564,,
A00448,1615,,
A00452,1630,,
A00453,1634,,
A00454,1568,,
A00455,1565,,
A00456,1575,,
A00457,1568,,
A00458,1570,,
A00459,1636,,
A00460,1602,,
A00461,1618,,
A00462,1622,,
A00463,1623,,
A00464,1595,,
A00465,1611,,
A00466,1625,,
A00467,1623,,
A00471,1535,,
A00472,1583,,
A00473,1582,,
A00474,1525,,
A00475,1638,,
A00476,1610,,
A00477,1592,,
A00478,1635,,
A00479,1555,,
A00481,1565,,
A00482,1583,,
A00483,1544,,
A00489,1580,,
A00498,1567,,
A00499,1600,,
A00502,1629,,
A00503,1635,,
A00505,1591,,
A00508,1585,,
A00509,1617,,
A00510,1635,,
A00514,1614,,
A00515,1604,,
A00518,1589,,
A00519,1636,,
A00520,1606,,
A00522,1562,,
A00525,1533,,
A00527,1606,,
A00529,1637,,
A00533,1579,,
A00535,1618,,
A00537,1632,,
A00538,1593,,
A00541,1623,,
A00544,1622,,
A00545,1606,,
A00546,1599,,
A00548,1632,,
A00549,1633,,
A00551,1616,,
A00552,1622,,
A00553,1590,,
A00554,1608,,
A00555,1621,,
A00562,1599,,
A00563,1591,,
A00564,1615,,
A00565,1599,,
A00566,1598,,
A00573,1638,,
A00574,1616,,
A00579,1618,,
A00580,1623,,
A00581,1626,,
A00583,1630,,
A00584,1630,,
A00586,1635,,
A00587,1626,,
A00593,1636,,
A00594,1629,,
A00596,1623,,
A00597,1630,,
A00599,1626,,
A00600,1626,,
A00601,1626,,
A00602,1624,,
A00604,1638,,
A00605,1632,,
A00607,1636,,
A00608,1629,,
A00609,1555,,
A00610,1555,,
A00611,1588,,
A00614,1578,,
A00616,1557,,
A00617,1589,,
A00619,1623,,
A00626,1628,,
A00627,1590,,
A00630,1584,,
A00631,1602,,
A00634,1588,,
A00635,1592,,
A00637,1584,,
A00639,1586,,
A00641,1590,,
A00642,1588,,
A00643,1640,,
A00646,1617,,
A00648,1615,,
A00649,1616,,
A00650,1612,,
A00652,1622,,
A00658,1574,,
A00659,1575,,
A00662,1572,,
A00663,1603,,
A00664,1599,,
A00665,1633,,
A00667,1603,,
A00668,1604,,
A00669,1616,,
A00670,1617,,
A00671,1611,,
A00673,1542,,
A00675,1620,,
A00678,1620,,
A00679,1637,,
A00680,1620,,
A00682,1620,,
A00683,1626,,
A00685,1563,,
A00686,1584,,
A00687,1572,,
A00688,1617,,
A00689,1578,,
A00692,1608,,
A00693,1609,,
