TCP,Derived Date,Deidre Date,Deidre Date Note
A00694,1609,,
A00695,1640,,
A00698,1559,,
A00699,1622,,
A00700,1593,,
A00702,1590,,
A00703,1582,,
A00705,1527,,
A00706,1623,,
A00709,1615,,
A00710,1592,,
A00712,1574,,
A00714,1581,,
A00718,1572,,
A00721,1572,,
A00723,1618,,
A00725,1612,,
A00726,1604,,
A00728,1628,,
A00730,1592,,
A00731,1622,,
A00733,1628,,
A00734,1592,,
A00737,1635,,
A00738,1629,,
A00741,1627,,
A00742,1589,,
A00746,1621,,
A00747,1640,,
A00748,1590,,
A00749,1640,,
A00750,1558,,
A00753,1604,,
A00755,1580,,
A00756,1626,,
A00758,1546,,
A00759,1630,,
A00760,1633,,
A00761,1636,,
A00762,1560,,
A00765,1640,,
A00766,1509,,
A00769,1526,,
A00771,1521,,
A00776,1578,,
A00777,1616,,
A00778,1588,,
A00779,1509,,
A00789,1532,,
A00791,1623,,
A00792,1565,,
A00793,1626,,
A00794,1614,,
A00796,1605,,
A00797,1626,,
A00799,1558,,
A00800,1592,,
A00801,1591,,
A00804,1595,,
A00808,1577,,
A00810,1605,,
A00816,1637,,
A00818,1631,,
A00819,1591,,
A00823,1596,,
A00825,1618,,
A00826,1617,,
A00831,1583,,
A00880,1579,,
A00883,1530,,
A00884,1540,,
A00887,1614,,
A00888,1614,,
A00895,1523,,
A00901,1634,,
A00908,1602,,
A00916,1613,,
A00918,1495,,
A00919,1608,,
A00921,1566,,
A00922,1604,,
A00923,1600,,
A00924,1583,,
A00926,1640,,
A00927,1626,,
A00930,1624,,
A00931,1580,,
A00932,1580,,
A00933,1583,,
A00935,1581,,
A00939,1580,,
A00940,1582,,
A00941,1576,,
A00942,1629,,
A00943,1577,,
A00945,1595,,
A00946,1593,,
A00947,1591,,
A00948,1610,,
A00951,1625,,
A00954,1623,,
A00958,1639,,
A00959,1640,,
A00960,1637,,
A00962,1610,,
A00966,1640,,
A00967,1640,,
A00968,1621,,
A00969,1634,,
A00970,1613,,
A00972,1628,,
A00973,1628,,
A00975,1632,,
A00977,1633,,
A00979,1631,,
A00980,1632,,
A00981,1603,,
A00982,1606,,
A00983,1593,,
A00985,1614,,
A00989,1635,,
A00990,1578,,
A00991,1598,,
A00993,1616,,
A00997,1619,,
A01001,1619,,
A01002,1578,,
A01003,1604,,
A01004,1620,,
A01005,1638,,
A01006,1612,,
A01007,1631,,
A01008,1624,,
A01009,1613,,
A01010,1639,,
A01011,1639,,
A01012,1623,,
A01013,1600,,
A01014,1631,,
A01017,1610,,
A01019,1628,,
A01020,1629,,
A01022,1623,,
A01023,1631,,
A01025,1635,,
A01027,1626,,
A01028,1616,,
A01030,1632,,
A01032,1632,,
A01033,1616,,
A01038,1638,,
A01039,1638,,
A01041,1614,,
A01042,1627,,
A01043,1625,,
A01044,1633,,
A01045,1631,,
A01046,1633,,
A01047,1634,,
A01048,1606,,
A01049,1638,,
A01052,1639,,
A01053,1620,,
A01055,1629,,
A01056,1633,,
A01057,1633,,
A01058,1607,,
A01059,1640,,
A01062,1607,,
A01064,1603,,
A01066,1615,,
A01069,1616,,
A01072,1581,,
A01073,1591,,
A01075,1606,,
A01076,1624,,
A01077,1615,,
A01078,1619,,
A01080,1567,,
A01083,1616,,
A01084,1640,,
A01085,1622,,
A01086,1604,,
A01088,1613,,
A01089,1638,,
A01090,1631,,
A01091,1631,,
A01092,1629,,
A01093,1622,,
A01094,1608,,
A01095,1612,,
A01097,1591,,
A01098,1623,,
A01099,1612,,
A01100,1581,,
A01101,1594,,
A01107,1548,,
A01108,1635,,
A01115,1589,,
A01118,1579,,
A01125,1587,,
A01128,1629,,
A01129,1580,,
A01130,1580,,
A01136,1578,,
A01138,1614,,
A01139,1639,,
A01141,1620,,
A01143,1589,,
A01144,1617,,
A01145,1588,,
A01147,1592,,
A01148,1608,,
A01149,1566,,
A01150,1621,,
A01151,1590,,
A01152,1575,,
A01154,1590,,
A01155,1569,,
A01157,1592,,
A01158,1639,,
A01159,1624,,
A01160,1598,,
A01161,1595,,
A01162,1592,,
A01164,1621,,
A01165,1597,,
A01167,1618,,
A01169,1591,,
A01170,1619,,
A01171,1592,,
A01173,1575,,
A01175,1589,,
A01177,1591,,
A01180,1628,,
A01181,1623,,
A01185,1619,,
A01186,1621,,
A01189,1621,,
A01190,1617,,
A01192,1623,,
A01194,1613,,
A01196,1582,,
A01197,1575,,
A01198,1562,,
A01199,1550,,
A01200,1618,,
A01202,1613,,
A01203,1632,,
A01209,1630,,
A01210,1640,,
A01216,1601,,
A01217,1615,,
A01218,1615,,
A01219,1566,,
A01221,1605,,
A01222,1604,,
A01224,1588,,
A01225,1591,,
A01227,1591,,
A01228,1592,,
A01231,1588,,
A01233,1632,,
A01234,1639,,
A01235,1639,,
A01236,1577,,
A01238,1620,,
A01239,1620,,
A01240,1621,,
A01243,1613,,
A01245,1517,,
A01247,1629,,
A01248,1637,,
A01250,1623,,
A01252,1606,,
A01253,1639,,
A01255,1597,,
A01256,1614,,
A01258,1589,,
A01260,1611,,
A01261,1622,,
A01262,1587,,
A01267,1630,,
A01268,1533,,
A01272,1537,,
A01273,1531,,
A01278,1540,,
A01279,1529,,
A01281,1615,,
A01283,1539,,
A01284,1637,,
A01286,1587,,
A01287,1600,,
A01289,1601,,
A01292,1601,,
A01297,1560,,
A01299,1583,,
A01300,1574,,
A01303,1611,,
A01304,1571,,
A01309,1583,,
A01312,1580,,
A01313,1563,,
A01320,1573,,
A01324,1581,,
A01325,1580,,
A01327,1571,,
A01331,1577,,
A01332,1581,,
A01333,1580,,
A01335,1577,,
A01336,1577,,
A01338,1607,,
A01341,1631,,
A01342,1639,,
A01344,1640,,
A01346,1626,,
A01347,1628,,
A01348,1536,,
A01349,1540,,
A01351,1579,,
A01353,1587,,
A01354,1575,,
A01362,1589,,
A01363,1562,,
A01364,1600,,
A01365,1570,,
A01366,1537,,
A01368,1619,,
A01369,1600,,
A01371,1596,,
A01372,1584,,
A01373,1570,,
A01374,1635,,
A01375,1618,,
A01376,1605,,
A01377,1630,,
A01378,1532,,
A01379,1626,,
A01382,1600,,
A01383,1584,,
A01387,1571,,
A01389,1625,,
A01391,1623,,
A01395,1618,,
A01401,1616,,
A01402,1616,,
A01403,1616,,
A01404,1619,,
A01405,1618,,
A01406,1610,,
A01407,1617,,
A01408,1563,,
A01410,1586,,
A01420,1625,,
A01424,1629,,
A01425,1630,,
A01426,1601,,
A01428,1621,,
A01429,1604,,
A01430,1607,,
A01433,1638,,
A01436,1560,,
A01443,1611,,
A01444,1610,,
A01445,1579,,
A01446,1638,,
A01448,1603,,
A01449,1606,,
A01450,1597,,
A01451,1606,,
A01452,1600,,
A01453,1599,,
A01454,1638,,
A01455,1605,,
A01456,1611,,
A01457,1553,,
A01461,1553,,
A01463,1546,,
A01464,1546,,
A01466,1551,,
A01467,1548,,
A01468,1553,,
A01469,1534,,
A01470,1625,,
A01471,1609,,
A01472,1618,,
A01473,1623,,
A01474,1615,,
A01475,1605,,
A01476,1496,,
A01483,1629,,
A01490,1593,,
A01491,1596,,
A01492,1593,,
A01500,1594,,
A01501,1595,,
A01502,1595,,
A01503,1624,,
A01504,1591,,
A01505,1566,,
A01506,1578,,
A01507,1579,,
A01509,1578,,
A01511,1634,,
A01512,1600,,
A01513,1573,,
A01514,1575,,
A01516,1605,,
A01517,1576,,
A01518,1576,,
A01520,1575,,
A01521,1576,,
A01522,1576,,
A01523,1627,,
A01524,1626,,
A01528,1624,,
A01529,1624,,
A01530,1620,,
A01531,1640,,
A01532,1624,,
A01533,1620,,
A01534,1623,,
A01537,1624,,
A01538,1627,,
A01539,1623,,
A01540,1623,,
A01541,1620,,
A01545,1619,,
A01547,1638,,
A01548,1621,,
A01550,1622,,
A01551,1620,,
A01552,1627,,
A01553,1620,,
A01554,1623,,
A01555,1579,,
A01556,1565,,
A01558,1612,,
A01559,1630,,
A01560,1629,,
A01562,1630,,
A01564,1528,,
A01565,1610,,
A01566,1612,,
A01567,1583,,
A01568,1583,,
A01569,1615,,
A01570,1584,,
A01573,1612,,
A01575,1620,,
A01576,1624,,
A01580,1624,,
A01581,1624,,
A01582,1618,,
A01584,1568,,
A01586,1635,,
A01592,1584,,
A01594,1562,,
A01596,1603,,
A01597,1591,,
A01598,1637,,
A01600,1614,,
A01612,1625,,
A01615,1602,,
A01617,1614,,
A01618,1569,,
A01622,1633,,
A01624,1579,,
A01627,1572,,
A01628,1588,,
A01629,1587,,
A01631,1581,,
A01632,1639,,
A01635,1632,,
A01637,1640,,
A01638,1632,,
A01639,1626,,
A01645,1638,,
A01647,1638,,
A01648,1638,,
A01653,1638,,
A01655,1610,,
A01656,1614,,
A01657,1547,,
A01658,1576,,
A01661,1550,,
A01662,1559,,
A01664,1548,,
A01666,1577,,
A01673,1608,,
A01675,1610,,
A01676,1601,,
A01678,1590,,
A01679,1604,,
A01680,1589,,
A01681,1588,,
A01682,1594,,
A01683,1597,,
A01684,1589,,
A01685,1591,,
A01689,1612,,
A01690,1619,,
A01691,1613,,
A01692,1627,,
A01694,1599,,
A01695,1579,,
A01697,1571,,
A01698,1616,,
A01700,1620,,
A01701,1584,,
A01703,1584,,
A01704,1614,,
A01705,1607,,
A01706,1548,,
A01707,1570,,
A01711,1597,,
A01712,1583,,
A01716,1593,,
A01718,1587,,
A01719,1589,,
A01724,1582,,
A01725,1598,,
A01727,1582,,
A01730,1590,,
A01731,1582,,
A01735,1591,,
A01736,1590,,
A01737,1622,,
A01738,1594,,
A01739,1597,,
A01740,1580,,
A01743,1635,,
A01744,1631,,
A01747,1601,,
A01748,1601,,
A01749,1576,,
A01750,1640,,
A01752,1548,,
A01753,1575,,
A01754,1551,,
A01759,1638,,
A01760,1637,,
A01761,1581,,
A01764,1585,,
A01765,1559,,
A01767,1552,,
A01768,1628,,
A01769,1554,,
A01772,1639,,
A01773,1640,,
A01774,1587,,
A01775,1640,,
A01776,1639,,
A01777,1639,,
A01779,1640,,
A01780,1610,,
A01782,1542,,
A01784,1532,,
A01786,1576,,
A01787,1591,,
A01791,1615,,
A01792,1570,,
A01793,1616,,
A01794,1615,,
A01795,1616,,
A01797,1585,,
A01800,1604,,
A01801,1604,,
A01802,1601,,
A01804,1625,,
A01809,1629,,
A01810,1628,,
A01811,1630,,
A01812,1603,,
A01813,1602,,
A01814,1625,,
A01818,1614,,
A01822,1616,,
A01828,1533,,
A01831,1550,,
A01836,1632,,
A01837,1627,,
A01838,1620,,
A01839,1631,,
A01840,1633,,
A01843,1573,,
A01845,1580,,
A01846,1621,,
A01847,1588,,
A01848,1581,,
A01849,1639,,
A01850,1628,,
A01851,1633,,
A01852,1634,,
A01853,1628,,
A01857,1625,,
A01858,1623,,
A01864,1588,,
A01867,1630,,
A01868,1635,,
A01869,1608,,
A01871,1620,,
A01872,1637,,
A01873,1618,,
A01874,1621,,
A01877,1625,,
A01878,1569,,
A01880,1558,,
A01881,1622,,
A01883,1616,,
A01886,1632,,
A01887,1607,,
A01889,1627,,
A01890,1624,,
A01891,1640,,
A01894,1637,,
A01898,1636,,
A01900,1638,,
A01902,1636,,
A01907,1520,,
A01908,1542,,
A01909,1563,,
A01910,1569,,
A01911,1606,,
A01914,1640,,
A01917,1612,,
A01919,1603,,
A01920,1604,,
A01923,1603,,
A01924,1604,,
A01929,1615,,
A01930,1615,,
A01931,1614,,
A01932,1625,,
A01933,1618,,
A01934,1625,,
A01935,1636,,
A01936,1638,,
A01937,1639,,
A01942,1590,,
A01943,1574,,
A01945,1510,,
A01947,1586,,
A01948,1623,,
A01949,1579,,
A01951,1582,,
A01952,1595,,
A01953,1579,,
A01955,1598,,
A01956,1619,,
A01957,1568,,
A01958,1616,,
A01960,1542,,
A01962,1541,,
A01970,1626,,
A01971,1615,,
A01972,1630,,
A01974,1631,,
A01975,1626,,
A01979,1619,,
A01980,1639,,
A01981,1632,,
A01982,1616,,
A01987,1570,,
A01988,1561,,
A01989,1640,,
A01991,1607,,
A01992,1621,,
A01993,1490,,
A01994,1506,,
A01996,1635,,
A01997,1483,,
A01998,1532,,
A02000,1640,,
A02008,1571,,
A02021,1609,,
A02023,1588,,
A02024,1611,,
A02026,1625,,
A02027,1577,,
A02028,1616,,
A02029,1616,,
A02030,1616,,
A02031,1621,,
A02032,1616,,
A02034,1620,,
A02036,1616,,
A02039,1616,,
A02040,1568,,
A02041,1570,,
A02043,1581,,
A02044,1594,,
A02045,1562,,
A02048,1574,,
A02049,1602,,
A02050,1602,,
A02053,1604,,
A02054,1613,,
A02057,1636,,
A02058,1609,,
A02059,1609,,
A02060,1639,,
A02062,1540,,
A02063,1540,,
A02065,1562,,
A02070,1599,,
A02072,1615,,
A02073,1617,,
A02074,1589,,
A02077,1617,,
A02079,1592,,
A02080,1589,,
A02087,1636,,
A02091,1599,,
A02092,1592,,
A02093,1615,,
A02096,1587,,
A02099,1591,,
A02101,1602,,
A02103,1592,,
A02110,1590,,
A02111,1590,,
A02117,1593,,
A02119,1640,,
A02120,1599,,
A02121,1592,,
A02122,1584,,
A02124,1608,,
A02125,1594,,
A02127,1594,,
A02128,1630,,
A02129,1583,,
A02131,1593,,
A02132,1591,,
A02133,1589,,
A02135,1599,,
A02136,1584,,
A02138,1584,,
A02139,1640,,
A02140,1592,,
A02141,1591,,
A02143,1588,,
A02148,1638,,
A02151,1636,,
A02152,1601,,
A02153,1588,,
A02154,1592,,
A02157,1585,,
A02159,1592,,
A02160,1592,,
A02166,1592,,
A02167,1590,,
A02168,1598,,
A02170,1638,,
A02171,1589,,
A02172,1603,,
A02178,1612,,
A02180,1595,,
A02181,1598,,
A02182,1597,,
A02183,1612,,
A02184,1595,,
A02186,1620,,
A02187,1608,,
A02189,1620,,
A02190,1634,,
A02191,1628,,
A02192,1615,,
A02194,1606,,
A02198,1603,,
A02199,1640,,
A02200,1589,,
A02201,1587,,
A02203,1568,,
A02208,1608,,
A02216,1585,,
A02218,1578,,
A02219,1621,,
A02223,1615,,
A02225,1627,,
A02226,1633,,
A02227,1609,,
A02229,1570,,
A02230,1596,,
A02233,1633,,
A02235,1634,,
A02237,1598,,
A02239,1608,,
A02242,1564,,
A02248,1506,,
A02249,1512,,
A02250,1619,,
A02251,1600,,
A02253,1626,,
A02254,1619,,
A02255,1621,,
A02256,1594,,
A02257,1600,,
A02259,1640,,
A02260,1640,,
A02262,1640,,
A02265,1615,,
A02266,1623,,
A02267,1632,,
A02270,1630,,
A02272,1547,,
A02273,1587,,
A02274,1572,,
A02275,1636,,
A02277,1604,,
A02281,1596,,
A02284,1602,,
A02288,1569,,
A02291,1581,,
A02293,1578,,
A02294,1577,,
A02296,1568,,
A02298,1560,,
A02299,1619,,
A02300,1548,,
A02303,1537,,
A02306,1570,,
A02315,1575,,
A02319,1597,,
A02320,1634,,
A02322,1638,,
A02324,1639,,
A02325,1632,,
A02327,1639,,
A02329,1579,,
A02331,1554,,
A02333,1591,,
A02334,1595,,
A02335,1593,,
A02336,1573,,
A02339,1604,,
A02340,1542,,
A02342,1559,,
A02347,1577,,
A02349,1627,,
A02351,1633,,
A02352,1625,,
A02353,1620,,
A02358,1627,,
A02359,1624,,
A02360,1608,,
A02361,1621,,
A02362,1612,,
A02364,1598,,
A02366,1587,,
A02367,1616,,
A02375,1589,,
A02376,1586,,
A02379,1531,,
A02381,1533,,
A02389,1578,,
A02396,1619,,
A02398,1631,,
A02399,1547,,
A02400,1624,,
A02401,1581,,
A02402,1597,,
A02403,1631,,
A02404,1631,,
A02405,1633,,
A02406,1630,,
A02407,1633,,
A02408,1582,,
A02409,1633,,
A02413,1635,,
A02414,1626,,
A02415,1633,,
A02421,1588,,
A02422,1536,,
A02423,1554,,
A02424,1554,,
A02426,1557,,
A02427,1625,,
A02428,1592,,
A02430,1615,,
A02432,1549,,
A02435,1610,,
A02436,1606,,
A02438,1615,,
A02440,1602,,
A02441,1619,,
A02442,1605,,
A02443,1588,,
A02444,1603,,
A02445,1638,,
A02447,1634,,
A02448,1579,,
A02453,1640,,
A02454,1640,,
A02455,1640,,
A02456,1605,,
A02457,1591,,
A02460,1628,,
A02461,1606,,
A02462,1607,,
A02464,1581,,
A02469,1565,,
A02472,1613,,
A02473,1622,,
A02475,1623,,
A02476,1575,,
A02477,1579,,
A02478,1604,,
A02479,1587,,
A02480,1574,,
A02483,1616,,
A02484,1627,,
A02486,1613,,
A02487,1626,,
A02488,1621,,
A02492,1632,,
A02493,1615,,
A02494,1582,,
A02495,1599,,
A02496,1614,,
A02497,1617,,
A02498,1576,,
A02500,1614,,
A02503,1565,,
A02513,1606,,
A02517,1623,,
A02518,1639,,
A02519,1635,,
A02520,1640,,
A02522,1610,,
A02525,1612,,
A02526,1614,,
A02527,1615,,
A02528,1618,,
A02530,1620,,
A02531,1622,,
A02532,1626,,
A02534,1608,,
A02536,1611,,
A02537,1623,,
A02538,1606,,
A02545,1607,,
A02547,1613,,
A02548,1620,,
A02549,1641,,
A02551,1630,,
A02552,1603,,
A02553,1605,,
A02563,1628,,
A02565,1628,,
A02566,1629,,
A02567,1609,,
A02568,1609,,
A02571,1608,,
A02572,1617,,
A02573,1546,,
A02578,1617,,
A02584,1629,,
A02585,1618,,
A02586,1637,,
A02588,1609,,
A02589,1626,,
A02590,1624,,
A02591,1624,,
A02593,1624,,
A02595,1548,,
A02597,1626,,
A02599,1551,,
A02601,1534,,
A02602,1552,,
A02604,1598,,
A02605,1640,,
A02606,1615,,
A02607,1622,,
A02608,1620,,
A02609,1620,,
A02610,1611,,
A02611,1609,,
A02612,1627,,
A02613,1561,,
A02614,1586,,
A02616,1581,,
A02617,1581,,
A02618,1619,,
A02619,1619,,
A02620,1548,,
A02621,1550,,
A02622,1604,,
A02623,1594,,
A02624,1604,,
A02626,1613,,
A02628,1620,,
A02629,1640,,
A02630,1564,,
A02631,1565,,
A02633,1544,,
A02635,1567,,
A02637,1568,,
A02638,1543,,
A02639,1638,,
A02641,1610,,
A02643,1632,,
A02644,1596,,
A02645,1596,,
A02647,1618,,
A02649,1596,,
A02652,1596,,
A02655,1590,,
A02656,1567,,
A02657,1573,,
A02658,1547,,
A02662,1553,,
A02663,1536,,
A02664,1616,,
A02665,1584,,
A02668,1543,,
A02671,1588,,
A02672,1590,,
A02673,1609,,
A02674,1629,,
A02675,1639,,
A02679,1633,,
A02680,1635,,
A02681,1634,,
A02683,1614,,
A02685,1610,,
A02692,1628,,
A02693,1628,,
A02698,1622,,
A02702,1626,,
A02706,1624,,
A02714,1628,,
A02715,1618,,
A02722,1630,,
A02724,1613,,
A02725,1613,,
A02726,1547,,
A02727,1619,,
A02728,1619,,
A02730,1633,,
A02731,1583,,
A02732,1604,,
A02733,1612,,
A02734,1634,,
A02735,1602,,
A02738,1548,,
A02739,1625,,
A02740,1614,,
A02741,1639,,
A02744,1638,,
A02746,1630,,
A02749,1562,,
A02750,1603,,
A02753,1599,,
A02754,1629,,
A02755,1640,,
A02757,1548,,
A02758,1633,,
A02762,1616,,
A02764,1608,,
A02769,1640,,
A02771,1624,,
A02772,1549,,
A02774,1593,,
A02775,1593,,
A02777,1597,,
A02778,1583,,
A02779,1588,,
A02783,1590,,
A02784,1599,,
A02785,1604,,
A02786,1607,,
A02788,1544,,
A02791,1601,,
A02792,1592,,
A02793,1582,,
A02794,1595,,
A02795,1587,,
A02796,1598,,
A02797,1600,,
A02798,1596,,
A02799,1615,,
A02800,1616,,
A02804,1636,,
A02806,1569,,
A02807,1552,,
A02811,1509,,
A02812,1531,,
A02813,1504,,
A02817,1554,,
A02820,1509,,
A02822,1632,,
A02823,1633,,
A02825,1545,,
A02826,1622,,
A02827,1627,,
A02831,1563,,
A02832,1617,,
A02833,1627,,
A02834,1616,,
A02835,1624,,
A02836,1628,,
A02837,1632,,
A02841,1607,,
A02843,1602,,
A02844,1603,,
A02846,1614,,
A02848,1603,,
A02849,1623,,
A02852,1623,,
A02855,1599,,
A02858,1630,,
A02861,1613,,
A02862,1606,,
A02864,1601,,
A02872,1570,,
A02874,1604,,
A02875,1570,,
A02878,1637,,
A02879,1566,,
A02880,1616,,
A02881,1579,,
A02882,1548,,
A02883,1549,,
A02884,1572,,
A02885,1578,,
A02886,1545,,
A02889,1614,,
A02893,1634,,
A02894,1618,,
A02895,1574,,
A02897,1569,,
A02903,1631,,
A02904,1601,,
A02906,1547,,
A02908,1589,,
A02909,1630,,
A02911,1548,,
A02912,1611,,
A02913,1615,,
A02914,1611,,
A02915,1612,,
A02916,1580,,
A02919,1581,,
A02921,1577,,
A02923,1569,,
A02926,1574,,
A02928,1578,,
A02930,1632,,
A02934,1509,,
A02935,1599,,
A02936,1536,,
A02937,1536,,
A02941,1538,,
A02945,1547,,
A02947,1543,,
A02948,1556,,
A02949,1576,,
A02951,1585,,
A02952,1588,,
A02953,1589,,
A02955,1589,,
A02956,1589,,
A02957,1589,,
A02959,1613,,
A02960,1588,,
A02961,1587,,
A02963,1589,,
A02964,1570,,
A02966,1585,,
A02967,1585,,
A02968,1585,,
A02970,1586,,
A02971,1589,,
A02972,1590,,
A02973,1590,,
A02974,1591,,
A02975,1594,,
A02976,1595,,
A02977,1577,,
A02979,1599,,
A02981,1609,,
A02982,1637,,
A02983,1590,,
A02984,1585,,
A02986,1587,,
A02987,1630,,
A02990,1640,,
A02991,1592,,
A02992,1594,,
A02993,1590,,
A02994,1611,,
A02995,1590,,
A02996,1610,,
A02997,1594,,
A03001,1610,,
A03002,1611,,
A03003,1589,,
A03006,1592,,
A03007,1570,,
A03016,1591,,
