Researched,"These are words that, based on research, are not meant to be standardized."
Standardized,These are words that were changed by the standardization process.
Justified,These are words that were not standardized by the automatic process but were identified by hand as being candidates for standardization. Justification for why they were not standardized can be seen by mousing over them in the text.
