tcp,estc,playfile,html_name,corpus_name,Wiggins number,author,author 2,author 3,author 4,author 5,translator,adaptation,missing from tcp or excluded,title,alternative title,type,genre,Wiggins genre,DEEP genre,Harbage genre,Wiggins contemporary genre,date of writing,date of 1st performance,Harbage limits of performance date,date of 1st publication,date of text used,play company 1,play company 2,theatre,metre,rhyme,notes,text_name,in_554,in_666,in_1244,status
A01502,S105701,A01502,a01502headed_Docuscope.html,46977f5d7a,865,"Garnier, Robert",,,,,"Herbert, Mary",,no,Antonius,Printed: Antonius / Contemporary: The Tragedy of Antony,drama,TR,TR,TR,,TR,1590,1590,,1592,1595,,,,yes,blank verse and couplets,,A01502.headed.txt,TRUE,TRUE,TRUE,Free
A01506,S105704,A01506,a01506headed_Docuscope.html,,637-43?,"Churchyard, Thomas","Garter, Bernard","Goldingham, Henry",,,,,no,The Entertainment at Norwich,,drama,EN,,EN,,,1578,1578,,1578,1578,,,,,,,A01506.headed.txt,FALSE,TRUE,TRUE,Free
A01509,S120868,A01509,a01509headed_Docuscope.html,46977f5d7a,,"Garter, Thomas",,,,,,,no,The Most Virtuous and Godly Susanna,,drama,CO,,Moral Interlude,,,1563,1569,,1578,1578,,,,,,,A01509.headed.txt,TRUE,TRUE,TRUE,Free
A01513,S105691,A01513_01,a01513headed005play001_Docuscope.html,46977f5d7a,419,"Ariosto, Ludovico",,,,,"Gascoigne, George",,no,Supposes,Performed+Printed: Supposes / Contemporary: The Supposes,drama,CO,CO,CO,,CO,1566,1566,,1573,1573,,,Gray's Inn,prose,no,,A01513.headed_005_play_001.txt,TRUE,TRUE,TRUE,Free
A01513,S105691,A01513_02,a01513headed044play002_Docuscope.html,46977f5d7a,438,"Dolce, Ludovico",,,,,"Gascoigne, George; Kinwelmersh, Francis; Yelverton, Christopher",,no,Jocasta,Printed/MS: Jocasta,drama,TR,TR,TR,,TR,1566,1566,,1573,1573,,,Gray's Inn,yes,no,,A01513.headed_044_play_002.txt,TRUE,TRUE,TRUE,Free
A01513,S105691,play in collection,a01513headed144poem071l2_Docuscope.html,,526,"Gascoigne, George",,,,,,,yes,The Masque for Lord Montacute,Wiggins title: Wedding Masque of Venetians / Printed: Gascoigne's Device of a Masque for the Right Honourable Viscount Montacute / Later assigned: The Masque for Lord Montacute; The Montague Masque / Alternative modernizations: The Masque for Lord Montagu; The Masque for Lord Montague,drama,MA,MA,Wedding MA,,MA,1572,1572,,1573,1573,,,"EITHER Montacute House, London OR Cowdray Park, Sussex",yes,yes,,A01513.headed_144_poem_071_L2.txt,FALSE,FALSE,TRUE,Free
A01520,S105718,A01520,a01520headed_Docuscope.html,46977f5d7a,574,"Gascoigne, George",,,,,,,no,The Glass of Government,Performed+Printed: The Glass of Government,drama,TR,moral,Moral Allegory,,tragical comedy; CO,1575,1575,,1575,1575,,,,prose,yes,,A01520.headed.txt,TRUE,TRUE,TRUE,Free
A01772,S103124,A01772,a01772headed_Docuscope.html,46977f5d7a,,"Glapthorne, Henry",,,,,,,no,Argalus and Parthenia,,drama,TC,,TC,,,1632,1638,,1639,1639,Beeston's Boys,,,,,,A01772.headed.txt,TRUE,TRUE,TRUE,Free
A01773,S103204,A01773,a01773headed_Docuscope.html,46977f5d7a,,"Glapthorne, Henry",,,,,,,no,The Hollander,,drama,CO,,CO,,,1636,1636,,1640,1640,Queen Henrietta Maria's Men,Beeston's Boys,,,,,A01773.headed.txt,TRUE,TRUE,TRUE,Free
A01775,S103220,A01775,a01775headed_Docuscope.html,46977f5d7a,,"Glapthorne, Henry",,,,,,,no,The Ladies' Privilege,The Lady's Privilege,drama,TC,,TC,,,1637,1637,,1640,1640,Beeston's Boys,,,,,,A01775.headed.txt,TRUE,TRUE,TRUE,Free
