tcp,estc,playfile,html_name,corpus_name,Wiggins number,author,author 2,author 3,author 4,author 5,translator,adaptation,missing from tcp or excluded,title,alternative title,type,genre,Wiggins genre,DEEP genre,Harbage genre,Wiggins contemporary genre,date of writing,date of 1st performance,Harbage limits of performance date,date of 1st publication,date of text used,play company 1,play company 2,theatre,metre,rhyme,notes,text_name,in_554,in_666,in_1244,status
A05206,S111094,A05206,a05206headed_Docuscope.html,46977f5d7a,,Anon.,,,,,,,no,The True Chronicle of King Leir,,drama,TR,,Legendary History,,,1590,1590,,1605,1605,Queen Elizabeth's Men,,,,,,A05206.headed.txt,TRUE,TRUE,TRUE,Free
A05801,S104360,A05801,a05801headed_Docuscope.html,,,"A., R.",,,,,,,yes,The Valiant Welshman,Caradoc the Great,drama,HI,,HI,,,1610,1612,,1615,1615,Prince Charles's Men (first),Prince Henry's Men,,,,TCP transcription exists - have requested play to be added,A05801.headed.txt,FALSE,FALSE,TRUE,Free
A06150,S115567,A06150,a06150headed_Docuscope.html,,,"Beaumont, Francis",,,,,,,no,The Masque of the Inner Temple and Gray's Inn,,drama,MA,,MA,,,1613,1613,,1613,1613,,,,,,,A06150.headed.txt,FALSE,TRUE,TRUE,Free
A06177,S101156,A06177,a06177headed_Docuscope.html,46977f5d7a,,"Beaumont, Francis","Fletcher, John",,,,,,no,Cupid's Revenge,,drama,TR,,TR,,,1607,1608,,1615,1615,Children of the Queen's Revels,,,,,,A06177.headed.txt,TRUE,TRUE,TRUE,Free
A06184,S109636,A06184,a06184headed_Docuscope.html,46977f5d7a,802,"Lodge, Thomas",,,,,,,no,"The Wounds of Civil War, or Marius and Scilla","Printed: The Wounds of Civil War, lively set forth in the True Tragedies of Marius and Sulla / Contemporary: The Most Lamentable and True Tragedies of Marius and Sulla; The True Tragedies of Marius and Sulla",drama,TR,TR,Classical History,,TR,1588,1588,,1594,1594,Admiral's (Nottingham's) Men,,,pentameter and prose,blank verse and couplets,,A06184.headed.txt,TRUE,TRUE,TRUE,Free
A06185,S109578,A06185,a06185headed_Docuscope.html,,829,"Lodge, Thomas","Greene, Robert",,,,,,yes,A Looking Glass for London and England,Performed(?)+Printed: A Looking-Glass for London and England / Contemporary: The Looking Glass for London; The Looking-Glass,drama,IN,biblical moral,Biblical Moral,,,1588,1588,,1594,1594,Derby's (Strange's) Men,,,pentameter and prose,no,,A06185.headed.txt,FALSE,FALSE,TRUE,Free
A06207,S101159,A06207,a06207headed_Docuscope.html,46977f5d7a,,"Beaumont, Francis","Fletcher, John",,,,,,no,A King and No King,,drama,TC,,TC,,,1611,1611,,1619,1619,King's Men,,,,,,A06207.headed.txt,TRUE,TRUE,TRUE,Free
A06252,S104553,A06252,a06252headed_Docuscope.html,46977f5d7a,,"Beaumont, Francis",,,,,,,no,The Knight of the Burning Pestle,,drama,CO,,Burlesque Romance,,,1607,1607,,1613,1613,Children of the Queen's Revels,,,,,,A06252.headed.txt,TRUE,TRUE,TRUE,Free
A06270,S122090,A06270,a06270headed_Docuscope.html,46977f5d7a,1191,Anon.,,,,,,,no,"A Larum for London, or The Siege of Antwerp","Printed: A Larum for London, or the Siege of Antwerp / Contemporary: The Alarum to London / Later assigned: An Alarum for London / Alternative modernizations: Alarum for London; A 'Larum for London",drama,HI,HI,HI,,,1602,1599,,1602,1602,Lord Chamberlain's (Hunsdon's) Men,,"either the Theatre, the Curtain, or the Globe",pentameter and prose,no,,A06270.headed.txt,TRUE,TRUE,TRUE,Free
A06289,S101186,A06289,a06289headed_Docuscope.html,46977f5d7a,,"Beaumont, Francis","Fletcher, John",,,,,,no,The Maid's Tragedy,,drama,TR,,TR,,,1610,1610,,1619,1619,King's Men,,,,,,A06289.headed.txt,TRUE,TRUE,TRUE,Free
A06333,S109639,A06333,a06333headed_Docuscope.html,,1184,Anon.,,,,,,,yes,Look About You,"Printed: Look About You / Later assigned: Look About You, or Run, Redcap",drama,CO,CO,CO,,CO,1599,1599,,1600,1600,Admiral's (Nottingham's) Men,,presumably at the Rose,pentameter and prose,blank verse and couplets,,A06333.headed.txt,FALSE,FALSE,TRUE,Restricted
A06343,S101198,A06343,a06343headed_Docuscope.html,46977f5d7a,,"Beaumont, Francis","Fletcher, John",,,,,,no,Philaster,"Philaster, or Love Lies a-Bleeding",drama,TC,,TC,,,1609,1609,,1620,1620,King's Men,,,,,,A06343.headed.txt,TRUE,TRUE,TRUE,Free
A06389,S101204,A06389,a06389headed_Docuscope.html,46977f5d7a,,"Beaumont, Francis","Fletcher, John",,,,,,no,The Scornful Lady,,drama,CO,,CO,,,1610,1610,,1616,1616,Children of the Queen's Revels,,,,,,A06389.headed.txt,TRUE,TRUE,TRUE,Free
A06402,S108864,A06402,a06402headed_Docuscope.html,46977f5d7a,,"Lower, Sir William",,,,,,,no,The Phoenix in Her Flames,,drama,TR,,TR,,,1639,1639,,1639,1639,,,,,,,A06402.headed.txt,TRUE,TRUE,TRUE,Free
A06453,S108941,A06453,a06453headed_Docuscope.html,,,"Davenant, William",,,,,,,no,"Luminalia, or The Festival of Light",,drama,MA,,MA,,,1637,1638,,1637,1637,,,,,,,A06453.headed.txt,FALSE,TRUE,TRUE,Free
A06458,S104554,A06458,a06458headed_Docuscope.html,46977f5d7a,,"Beaumont, Francis","Fletcher, John",,,,,,no,The Woman Hater,The Hungry Courtier,drama,CO,,CO,,,1606,1606,,1607,1607,Children of Paul's (second),King's Men,,,,,A06458.headed.txt,TRUE,TRUE,TRUE,Free
A06480,S119919,A06480,a06480headed_Docuscope.html,46977f5d7a,621,"Lupton, Thomas",,,,,,,no,All for Money,Printed: All for Money,drama,CO,moral,Satirical Moral,,TR; interlude; 'moral and pitiful comedy',1577,1577,,1578,1578,,,,yes,yes,,A06480.headed.txt,TRUE,TRUE,TRUE,Free
A06583,S122289,A06583,a06583headed_Docuscope.html,46977f5d7a,746,"Lyly, John",,,,,,,no,Campaspe,"Printed: Alexander, Campaspe, and Diogenes / Contemporary: Campaspe; Alexander and Campaspe",drama,CO,CO,Classical Legend (Comedy),,CO; tragical comedy,1583,1583,,1584,1584,Oxford's Boys (Wiggins) / Children of the Chapel; Children of Paul's (DEEP),,the Blackfriars,prose,,,A06583.headed.txt,TRUE,TRUE,TRUE,Free
A06589,S109719,A06589,a06589headed_Docuscope.html,46977f5d7a,794,"Lyly, John",,,,,,,no,Endymion,"Printed: Endymion, the Man in the Moon / Contemporary: Endymion / Alternative Modernization: Endimion",drama,CO,CO,Classical Legend (CO),,CO,1588,1588,,1591,1591,Children of Paul's,,,prose,yes,,A06589.headed.txt,TRUE,TRUE,TRUE,Free
A06619,S109720,A06619,a06619headed_Docuscope.html,46977f5d7a,754,"Lyly, John",,,,,,,no,Gallathea,Printed: Galatea / Contemporary: Tityrus and Galatea / Alternative Modernizations: Gallathea; Galathea,drama,CO,CO,Classical Legend (Comedy),,CO,1584,1585,,1592,1592,Children of Paul's,,,prose,no,,A06619.headed.txt,TRUE,TRUE,TRUE,Free
A06620,S109730,A06620,a06620headed_Docuscope.html,46977f5d7a,841,"Lyly, John",,,,,,,no,Love's Metamorphosis,Printed: Love's Metamorphosis,drama,TC,pastoral comedy,Pastoral,,pastoral comedy,1590,1590,,1601,1601,Children of Paul's (first),Children of Paul's (first); Children of the Chapel (second),,prose,,,A06620.headed.txt,TRUE,TRUE,TRUE,Free
A06621,S109733,A06621,a06621headed_Docuscope.html,46977f5d7a,835,"Lyly, John",,,,,,,no,Midas,Printed: Midas,drama,CO,CO,CO,,CO,1589,1589,,1592,1592,Children of Paul's,,,prose,no,,A06621.headed.txt,TRUE,TRUE,TRUE,Free
A06622,S114225,A06622,a06622headed_Docuscope.html,46977f5d7a,,"Lyly, John",,,,,,,no,Mother Bombie,,drama,CO,,CO,,,1587,1591,,1594,1594,Children of Paul's (first),,,,,,A06622.headed.txt,TRUE,TRUE,TRUE,Free
A06625,S2801,A06625,a06625headed_Docuscope.html,46977f5d7a,753,"Lyly, John",,,,,,,no,Sappho and Phao,Printed: Sappho and Phao / Contemporary: The Comedy of Sappho / Alternative Modernization: Sapho and Phao,drama,CO,CO,Classical Legend (Comedy),,CO,1583,1583,,1584,1584,Wiggins: Oxford's Boys / DEEP: Children of the Chapel; Children of Paul's,,the Blackfriars,prose,,,A06625.headed.txt,TRUE,TRUE,TRUE,Free
A06629,S109746,A06629,a06629headed_Docuscope.html,46977f5d7a,,"Lyly, John",,,,,,,no,The Woman in the Moon,,drama,CO,,CO,,,1593,1593,,1597,1597,,,,,,,A06629.headed.txt,TRUE,TRUE,TRUE,Free
A06742,S111865,A06742,a06742headed_Docuscope.html,46977f5d7a,1231,Anon.,,,,,,,no,The Maid's Metamorphosis,Printed: The Maid's Metamorphosis,drama,CO,pastoral romance,CO,,,1600,1600,,1600,1600,Children of Paul's (second),,,iambic pentameter and prose,yes,,A06742.headed.txt,TRUE,TRUE,TRUE,Free
A06975,S112116,A06975,a06975headed_Docuscope.html,46977f5d7a,,"Markham, Gervase","Machin, Lewis",,,,,,no,The Dumb Knight,,drama,CO,,CO,,,1607,1608,,1608,1608,Children of the King's Revels,,,,,,A06975.headed.txt,TRUE,TRUE,TRUE,Free
A06982,S112199,A06982,a06982headed_Docuscope.html,46977f5d7a,,"Markham, Gervase","Sampson, William",,,,,,no,Herod and Antipater,,drama,TR,,TR,,,1622,1622,,1622,1622,Red Bull (Revels) Company (first),,,,,,A06982.headed.txt,TRUE,TRUE,TRUE,Free
A06991,S109853,A06991,a06991headed_Docuscope.html,46977f5d7a,828,"Marlowe, Christopher",,,,,,,no,The Jew of Malta,"Performed: The Jew of Malta / Printed: The Rich Jew of Malta / Contemporary: The Jew; De Judaeo divite (possibly); Barabas, Juden von Malta; Joodt van Malta, ofte Wraeck door moordt",drama,TR,TR,TR,,comoedia; TR,1589,1589,,1633,1633,Derby's (Strange's) Men,Queen Henrietta Maria's Men,,pentameter and prose,no,,A06991.headed.txt,TRUE,TRUE,TRUE,Free
A07003,S109865,A07003,a07003headed_Docuscope.html,46977f5d7a,947,"Marlowe, Christopher",,,,,,,no,The Massacre at Paris,Performed: The Massacre / Printed: The Massacre at Paris / Contemporary: The Tragedy of the Guise; The Massacre of France; The Massacre of Paris / Later assigned: The Duke of Guise,drama,TR,TR,Foreign History,,TR,1593,1593,,1594,1594,Lord Strange's (Derby's) Men,Admiral's (Nottingham's) Men,the Rose (?),yes,no,,A07003.headed.txt,TRUE,TRUE,TRUE,Free
A07004,S122101,A07004_01,a07004headed003play001_Docuscope.html,46977f5d7a,784,"Marlowe, Christopher",,,,,,,no,1 Tamburlaine,Performed: Tamburlaine / Printed: Tamburlaine the Great / Contemporary: The First Part of Tamburlaine; Tamburlaine the Scythian Shepherd; Mighty Tamburlaine the Scythian Shepherd; The Conquests of Tamburlaine the Scythian Shepherd; The Tragical Conquests of Tamburlaine the Scythian Shepherd,drama,TR,TR,Heroical Romance,,comical discourse; tragical discourse; poem,1587,1587,,1590,1590,Admiral's (Nottingham's) Men in London,,,yes,no,,A07004.headed_003_play_001.txt,TRUE,TRUE,TRUE,Free
A07004,S122101,A07004_02,a07004headed028part001_Docuscope.html,46977f5d7a,789,"Marlowe, Christopher",,,,,,,no,2 Tamburlaine,Performed: The Second Part of Tamburlaine / Printed: The Second Part of the Bloody Conquests of Mighty Tamburlaine / Contemporary: Tamburlaine the Scythian Shepherd; The Conquests of Tamburlaine the Scythian Shepherd; Tamburlaine the Great,drama,TR,TR,Heroical Romance,,comical discourse; tragical discourse; poem,1587,1587,,1590,1590,Admiral's (Nottingham's) Men in London,,,yes,no,,A07004.headed_028_part_001.txt,TRUE,TRUE,TRUE,Free
A07009,S120173,A07009,a07009headed_Docuscope.html,46977f5d7a,810,"Marlowe, Christopher",,,,,,,no,Dr. Faustus,Performed: Doctor Faustus / Printed: The Tragical History of Doctor Faustus / Contemporary: Faustus; De Fausto; The Tragical History of the Horrible Life and Death of Dr Faustus,drama,TR,TR,TR,,comoedia; play; tragical history; HI,1588,1592,,1604,1604,Admiral's (Nottingham's) Men,,,iambic pentameter and prose,no,,A07009.headed.txt,TRUE,TRUE,TRUE,Free
A07018,S120996,A07018,a07018headed_Docuscope.html,46977f5d7a,927,"Marlowe, Christopher",,,,,,,no,Edward the Second,"Printed: The Troublesome Reign and Lamentable Death of Edward II, King of England, with the Tragical Fall of Proud Mortimer / Contemporary: The Tragedy of Edward II; Edward II; The Reign of Edward II / Alternative Modernization: Edward the Second",drama,HI,HI,HI,,TR,1592,1592,,1594,1594,Pembroke's Men in London,,probably the Theatre,pentameter and prose,no,,A07018.headed.txt,TRUE,TRUE,TRUE,Free
A07023,S109880,A07023,a07023headed_Docuscope.html,46977f5d7a,820,"Marlowe, Christopher","Nashe, Thomas",,,,,,no,"Dido, Queen of Carthage",Printed: The Tragedy of Dido; Queen of Carthage / Contemporary: The Tragedy of Dido,drama,TR,TR,TR,,TR,1585,1586,,1594,1594,Children of the Chapel Royal,,,yes,no,,A07023.headed.txt,TRUE,TRUE,TRUE,Free
A07024,S112201,A07024,a07024headed_Docuscope.html,46977f5d7a,,"Marmion, Shakerly",,,,,,,no,A Fine Companion,,drama,CO,,CO,,,1633,1633,,1633,1633,Prince Charles's Men (second),,,,,,A07024.headed.txt,TRUE,TRUE,TRUE,Restricted
A07025,S112203,A07025,a07025headed_Docuscope.html,46977f5d7a,,"Marmion, Shackerley",,,,,,,no,Holland's Leaguer,,drama,CO,,CO,,,1631,1631,,1632,1632,Prince Charles's Men (second),,,,,,A07025.headed.txt,TRUE,TRUE,TRUE,Restricted
A07052,S120743,A07052,a07052headed_Docuscope.html,,461,Anon.,,,,,,,no,The Marriage of Wit and Science,Printed: The Marriage of Wit and Science / Contemporary: The Marriage of Wit and Wisdom (possibly),drama,IN,moral,Moral IN,,play; IN,1568,1568,,1570,1570,,,,yes,yes,,A07052.headed.txt,FALSE,TRUE,TRUE,Free
A07063,S109896,A07063,a07063headed_Docuscope.html,46977f5d7a,1218,"Marston, John",,,,,,,no,Antonio and Mellida,Printed: Antonio and Mellida / Contemporary: The First Part of Antonio and Mellida; Antony and Mellida,drama,TC,CO,TC,,,1599,1599,,1602,1602,Children of Paul's (second),,,iambic pentameter and prose,no,,A07063.headed.txt,TRUE,TRUE,TRUE,Free
A07064,S112254,A07064,a07064headed_Docuscope.html,46977f5d7a,1271,"Marston, John",,,,,,,no,Antonio's Revenge,Printed: Antonio's Revenge / Contemporary: The Second Part of Antonio and Mellida; Antonii vindictae,drama,TR,TR,TR,,TR; HI,1600,1600,,1602,1602,Children of Paul's (second),,,pentameter and prose,blank verse and couplets,,A07064.headed.txt,TRUE,TRUE,TRUE,Free
A07065,S112255,A07065,a07065headed_Docuscope.html,46977f5d7a,,"Marston, John",,,,,,,no,The Dutch Courtesan,Cockle de Moye,drama,CO,,CO,,,1603,1605,,1605,1605,Children of the Queen's Revels,,,,,,A07065.headed.txt,TRUE,TRUE,TRUE,Restricted
A07067,S112257,A07067,a07067headed_Docuscope.html,46977f5d7a,,"Machin, Lewis","Barkstead, William","Marston, John",,,,,no,The Insatiate Countess,,drama,TR,,TR,,,1607,1607,,1613,1613,Children of the Queen's Revels,,,,,,A07067.headed.txt,TRUE,TRUE,TRUE,Free
A07071,S112286,A07071,a07071headed_Docuscope.html,,,"Marston, John","Webster, John",,,,,,no,The Malcontent,,drama,TC,,TC,,,1602,1604,,1604,1604,Children of the Queen's Revels,King's Men,,,,,A07071.headed.txt,FALSE,FALSE,FALSE,Free
A07074,S112291,A07074,a07074headed_Docuscope.html,46977f5d7a,,"Marston, John","Webster, John",,,,,,no,The Malcontent,,drama,TC,,TC,,,1602,1604,,1604,1604,Children of the Queen's Revels,King's Men,,,,,A07074.headed.txt,TRUE,TRUE,TRUE,Free
A07077,S109899,A07077,a07077headed_Docuscope.html,46977f5d7a,,"Marston, John",,,,,,,no,"Parasitaster, or The Fawn",,drama,CO,,CO,,,1604,1604,,1606,1606,Children of the Queen's Revels,,,,,,A07077.headed.txt,TRUE,TRUE,TRUE,Free
A07081,S109900,A07081,a07081headed_Docuscope.html,46977f5d7a,1283,"Marston, John",,,,,,,no,What You Will,Performed+Printed: What You Will,drama,CO,CO,CO,,CO,1601,1601,,1607,1607,Children of Paul's (second),,,pentameter and prose,blank verse and couplets,,A07081.headed.txt,TRUE,TRUE,TRUE,Free
A07083,S112294,A07083,a07083headed_Docuscope.html,46977f5d7a,,"Marston, John",,,,,,,no,"The Wonder of Women, or Sophonisba",,drama,TR,,TR,,,1605,1605,,1606,1606,Children of the Queen's Revels,,,,,,A07083.headed.txt,TRUE,TRUE,TRUE,Free
A07217,S112425,A07217,a07217headed_Docuscope.html,46977f5d7a,,"Mason, John",,,,,,,no,The Turk,Muleasses the Turk,drama,TR,,TR,,,1607,1607,,1610,1610,Children of the King's Revels,,,,,,A07217.headed.txt,TRUE,TRUE,TRUE,Free
A07228,S109946,A07228,a07228headed_Docuscope.html,,,Anon.,,,,,,,yes,The Masque of Flowers,,drama,MA,,MA,,,1614,1614,,1614,1614,,,,,,,A07228.headed.txt,FALSE,FALSE,TRUE,Restricted
A07234,S112410,A07234,a07234headed_Docuscope.html,46977f5d7a,,"Massinger, Philip",,,,,,,no,The Bondman,The Noble Bondman,drama,CO,,TC,,,1623,1623,,1624,1624,Lady Elizabeth's Men,,,,,,A07234.headed.txt,TRUE,TRUE,TRUE,Free
A07237,S112414,A07237,a07237headed_Docuscope.html,46977f5d7a,,"Massinger, Philip",,,,,,,no,The Duke of Milan,,drama,TR,,TR,,,1621,1621,,1623,1623,King's Men,,,,,,A07237.headed.txt,TRUE,TRUE,TRUE,Free
A07238,S112418,A07238,a07238headed_Docuscope.html,46977f5d7a,,"Massinger, Philip",,,,,,,no,The Emperor of the East,,drama,TC,,TC,,,1631,1631,,1632,1632,King's Men,,,,,,A07238.headed.txt,TRUE,TRUE,TRUE,Free
A07239,S112420,A07239,a07239headed_Docuscope.html,46977f5d7a,,"Massinger, Philip",,,,,,,no,The Great Duke of Florence,,drama,TC,,TC,,,1627,1627,,1636,1636,Queen Henrietta Maria's Men,,,,,,A07239.headed.txt,TRUE,TRUE,TRUE,Free
A07240,S112421,A07240,a07240headed_Docuscope.html,46977f5d7a,,"Massinger, Philip",,,,,,,no,The Maid of Honour,The Maid of Honor,drama,CO,,TC,,,1621,1621,,1632,1632,Red Bull (Revels) Company (first),Queen Henrietta Maria's Men,,,,,A07240.headed.txt,TRUE,TRUE,TRUE,Free
A07241,S112423,A07241,a07241headed_Docuscope.html,46977f5d7a,,"Massinger, Philip",,,,,,,no,A New Way to Pay Old Debts,,drama,CO,,CO,,,1625,1625,,1633,1633,Queen Henrietta Maria's Men,,,,,,A07241.headed.txt,TRUE,TRUE,TRUE,Free
A07245,S123113,A07245,a07245headed_Docuscope.html,46977f5d7a,,"Massinger, Philip",,,,,,,no,The Picture,,drama,TC,,TC,,,1629,1629,,1630,1630,King's Men,,,,,,A07245.headed.txt,TRUE,TRUE,TRUE,Free
A07246,S112427,A07246,a07246headed_Docuscope.html,46977f5d7a,,"Massinger, Philip",,,,,,,no,"The Renegado, or The Gentleman of Venice",,drama,CO,,TC,,,1624,1624,,1630,1630,Lady Elizabeth's Men,Queen Henrietta Maria's Men,,,,,A07246.headed.txt,TRUE,TRUE,TRUE,Free
A07247,S112428,A07247,a07247headed_Docuscope.html,46977f5d7a,,"Massinger, Philip",,,,,,,no,The Roman Actor,,drama,TR,,TR,,,1626,1626,,1629,1629,King's Men,,,,,,A07247.headed.txt,TRUE,TRUE,TRUE,Free
A07248,S112429,A07248,a07248headed_Docuscope.html,46977f5d7a,,"Massinger, Philip",,,,,,,no,The Unnatural Combat,,drama,TR,,TR,,,1624,1624,,1639,1639,King's Men,,,,,,A07248.headed.txt,TRUE,TRUE,TRUE,Free
A07249,S112430,A07249,a07249headed_Docuscope.html,46977f5d7a,,"Dekker, Thomas","Massinger, Philip",,,,,,no,The Virgin Martyr,,drama,TR,,TR,,,1620,1620,,1622,1622,Red Bull (Revels) Company (first),,,,,,A07249.headed.txt,TRUE,TRUE,TRUE,Free
A07251,S112432,A07251,a07251headed_Docuscope.html,46977f5d7a,,"Field, Nathan","Massinger, Philip",,,,,,no,The Fatal Dowry,,drama,TR,,TR,,,1619,1619,,1632,1632,King's Men,,,,,,A07251.headed.txt,TRUE,TRUE,TRUE,Free
A07326,S109948,A07326,a07326headed_Docuscope.html,46977f5d7a,,"May, Thomas",,,,,,,no,The Heir,,drama,CO,,CO,,,1620,1620,,1622,1622,Red Bull (Revels) Company (first),,,,,,A07326.headed.txt,TRUE,TRUE,TRUE,Free
A07329,S122116,A07329,a07329headed_Docuscope.html,46977f5d7a,,"May, Thomas",,,,,,,no,"Antigone, the Theban Princess",,drama,TR,,TR,,,1627,1627,,1631,1631,,,,,,,A07329.headed.txt,TRUE,TRUE,TRUE,Free
A07330,S112548,A07330,a07330headed_Docuscope.html,46977f5d7a,,"May, Thomas",,,,,,,no,"Cleopatra, Queen of Egypt",,drama,TR,,TR,,,1626,1626,,1639,1639,,,,,,,A07330.headed.txt,TRUE,TRUE,TRUE,Free
A07332,S122054,A07332,a07332headed_Docuscope.html,46977f5d7a,,"May, Thomas",,,,,,,no,"Julia Agrippina, Empress of Rome",,drama,TR,,TR,,,1628,1628,,1639,1639,,,,,,,A07332.headed.txt,TRUE,TRUE,TRUE,Free
A07367,S114462,A07367,a07367headed_Docuscope.html,46977f5d7a,,"Mayne, Jasper",,,,,,,no,The City Match,,drama,CO,,CO,,,1637,1637,,1639,1639,King's Men,,,,,,A07367.headed.txt,TRUE,TRUE,TRUE,Free
A07394,S111265,A07394,a07394headed_Docuscope.html,,,"Medwall, Henry",,,,,,,yes,1 & 2 Fulgens and Lucrece,,drama,IN,,Romantic IN,,,1497,1497,,[1512-16?],1512,,,,,,,A07394.headed.txt,FALSE,FALSE,TRUE,Restricted
A07395,S122113,A07395,a07395headed_Docuscope.html,,,"Medwall, Henry",,,,,,,no,1 & 2 Nature,,drama,IN,,Moral IN,,,1496,1496,,1530-34,1530-34,,,,,,,A07395.headed.txt,FALSE,TRUE,TRUE,Free
A07492,S121838,A07492,a07492headed_Docuscope.html,46977f5d7a,1311,"Dekker, Thomas",,,,,,,no,"Blurt, Master Constable","Printed: Blurt, Master Constable, or The Spaniard's Night Walk",drama,CO,CO,CO,,,1601,1601,,1602,1602,Children of Paul's (second),,,prose and pentameter,couplets and blank verse,,A07492.headed.txt,TRUE,TRUE,TRUE,Free
A07493,S121839,A07493,a07493headed_Docuscope.html,46977f5d7a,,"Middleton, Thomas",,,,,,,no,A Chaste Maid in Cheapside,,drama,CO,,CO,,,1613,1613,,1630,1630,Lady Elizabeth's Men,,,,,,A07493.headed.txt,TRUE,TRUE,TRUE,Free
A07494,S112680,A07494,a07494headed_Docuscope.html,,,"Middleton, Thomas",,,,,,,yes,Civitatis Amor,,drama,EN,,Royal EN,,,1616,1616,,1616,1616,,,,,,,A07494.headed.txt,FALSE,FALSE,TRUE,Free
A07495,S112570,A07495,a07495headed_Docuscope.html,46977f5d7a,,"Middleton, Thomas",,,,,,,no,The Family of Love,,drama,CO,,CO,,,1603,1603,,1608,1608,Admiral's (Nottingham's) Men,Children of the King's Revels,,,,,A07495.headed.txt,TRUE,TRUE,TRUE,Free
A07498,S106481,A07498,a07498headed_Docuscope.html,46977f5d7a,,"Middleton, Thomas",,,,,,,no,A Game at Chess,,drama,TC,,Political Satire,,,1624,1624,,1625,1625,King's Men,,,,,,A07498.headed.txt,TRUE,TRUE,TRUE,Free
A07502,S110003,A07502,a07502headed_Docuscope.html,,,"Middleton, Thomas",,,,,,,no,Honorable Entertainments,Includes: The Entertainment at Sir William Cokayne's in Easter Week (The Cock); The Entertainment at Bunhill on the Shooting Day (The Archer); The Entertainment at the Conduit Head (The Water Nymph); The Entertainment for the General Training (Pallas); The Entertainment at Sir William Cokayne's upon Simon and Jude's Day (The Year's Funeral); The Entertainment at Sir Francis Jones's Welcome (Comus the Great Sir of Feasts); The Entertainment at Sir Francis Jones's at Christmas (The Triumph of Temperance); The Entertainment at Sir Francis Jones's at Easter (The Seasons); The Entertainment of the Lords of the Council by Sheriff Allen (Flora's Welcome); The Entertainment of the Lords of the Council by Sheriff Ducie (Flora's Servants),drama,EN,,EN,,,1621,1621,,1621,1621,,,,,,,A07502.headed.txt,FALSE,TRUE,TRUE,Free
A07503,S112576,A07503,a07503headed_Docuscope.html,,,"Middleton, Thomas",,,,,,,no,"The Inner-Temple Masque, or The Masque of Heroes",,drama,MA,,MA,,,1619,1619,,1619,1619,,,,,,,A07503.headed.txt,FALSE,TRUE,TRUE,Free
A07504,S112578,A07504,a07504headed_Docuscope.html,46977f5d7a,,"Middleton, Thomas",,,,,,,no,"A Mad World, My Masters",,drama,CO,,CO,,,1604,1605,,1608,1608,Children of Paul's (second),Queen Henrietta Maria's Men,,,,,A07504.headed.txt,TRUE,TRUE,TRUE,Free
A07505,S112589,A07505,a07505headed_Docuscope.html,46977f5d7a,,"Middleton, Thomas",,,,,,,no,Michaelmas Term,,drama,CO,,CO,,,1604,1604,,1607,1607,Children of Paul's (second),,,,,,A07505.headed.txt,TRUE,TRUE,TRUE,Free
A07507,S112593,A07507,a07507headed_Docuscope.html,46977f5d7a,,"Middleton, Thomas",,,,,,,no,The Phoenix,,drama,CO,,CO,,,1603,1603,,1607,1607,Children of Paul's (second),,,,,,A07507.headed.txt,TRUE,TRUE,TRUE,Free
A07510,S112596,A07510,a07510headed_Docuscope.html,,,"Middleton, Thomas",,,,,,,yes,The Sun in Aries,,drama,EN,,Civic Pageant,,,1621,1621,,1621,1621,,,,,,,A07510.headed.txt,FALSE,FALSE,TRUE,Free
A07511,S120698,A07511,a07511headed_Docuscope.html,46977f5d7a,,"Middleton, Thomas",,,,,,,no,A Trick to Catch the Old One,,drama,CO,,CO,,,1605,1605,,1608,1608,Children of Paul's (second),,,,,,A07511.headed.txt,TRUE,TRUE,TRUE,Free
A07512,S110007,A07512,a07512headed_Docuscope.html,,,"Middleton, Thomas",,,,,,,yes,The Triumphs of Health and Prosperity,,drama,EN,,Civic Pageant,,,1626,1626,,1626,1626,,,,,,,A07512.headed.txt,FALSE,FALSE,TRUE,Free
A07513,S112598,A07513,a07513headed_Docuscope.html,,,"Middleton, Thomas",,,,,,,yes,The Triumphs of Honor and Industry,,drama,EN,,Civic Pageant,,,1617,1617,,1617,1617,,,,,,,A07513.headed.txt,FALSE,FALSE,TRUE,Free
A07515,S110012,A07515,a07515headed_Docuscope.html,,,"Middleton, Thomas",,,,,,,yes,The Triumphs of Honor and Virtue,,drama,EN,,Civic Pageant,,,1622,1622,,1622,1622,,,,,,,A07515.headed.txt,FALSE,FALSE,TRUE,Free
A07516,S110011,A07516,a07516headed_Docuscope.html,,,"Middleton, Thomas",,,,,,,yes,The Triumphs of Integrity,,drama,EN,,Civic Pageant,,,1623,1623,,1623,1623,,,,,,,A07516.headed.txt,FALSE,FALSE,TRUE,Free
A07517,S119886,A07517,a07517headed_Docuscope.html,,,"Middleton, Thomas",,,,,,,yes,The Triumphs of Love and Antiquity,,drama,EN,,Civic Pageant,,,1619,1619,,1619,1619,,,,,,,A07517.headed.txt,FALSE,FALSE,TRUE,Free
A07518,S119885,play in collection,a07518headed_Docuscope.html,,,"Middleton, Thomas",,,,,,,no,The Triumphs of Truth; The Entertainment on Michaelmas Day 1613,Includes: The Triumphs of Truth; The Entertainment on Michaelmas Day 1613 (The Running Stream Entertainment) (The New River Entertainment),drama,EN,,Civic Pageant,,,1613,1613,,1613,1613,,,,,,,A07518.headed.txt,FALSE,TRUE,TRUE,Free
