TCP,Primary Language,Secondary Language
A19366,,"Spanish, French, Latin"
A19532,Latin,
A19576,Latin,
A19578,Latin,
A19741,Latin,
A19744,Latin,
A19770,,Latin
A19792,Latin,
A19865,Latin,
A20105,,French
A20146,Latin,
A20213,Welsh,
A20429,,French
A20469,,Latin
A20615,,Italian
A20623,Latin,
A20710,Latin,
A20781,Latin,
A20889,Latin,
A20911,Latin,
A20913,Latin,
A21073,Latin,
A21113,Latin,
A21114,Latin,
A21117,Latin,
A21122,Latin,
A21128,Latin,
A21130,Latin,
A21134,French,
A21135,French,
A21194,Latin,
A21218,,"French, Italian"
A21224,French,
A21235,,French
A21419,Latin,
A21553,,Latin
A21607,,Latin
A21608,French,
A21782,,Latin
A21928,Latin,
A22421,Spanish,
A22681,Dutch,
A22692,Latin,
A22693,Dutch,
A22694,French,
A22695,Italian,
A22699,Spanish,
A22703,,Dutch
A22714,Latin,
A23236,French,Latin
A23374,French,
A23393,French,
A23434,French,Latin
A23445,French,
A23484,French,Latin
A23485,French,Latin
A23743,Welsh,
A25323,Latin,
A25479,,Latin
A25682,,Latin
A26251,,Latin
A26327,,Latin
A26484,Latin,
A26496,,"French, Latin"
A26540,Dutch,French
A26553,,Latin
A26641,Latin,
A26692,Welsh,
A26750,,"Greek, Latin"
A26815,Latin,
A26817,,Latin
A27078,,Latin
A27384,,Latin
A27386,,Latin
A27387,,Latin
A27552,Latin,
A28038,French,
A28067,Irish,
A28105,Welsh,
A28109,Welsh,
A28111,,"Latin, French, Italian, Spanish, Greek, Hebrew"
A28126,,"Greek, Latin"
A28216,Latin,
A28463,,Latin
A28482,,Latin
A28509,Latin,
A28546,,Latin
A28573,French,
A28629,,Latin
A28700,Welsh,
A28832,Latin,
A28928,,French
A28932,,French
A29046,Latin,
A29060,Latin,
A29080,French,
A29292,French,
A29332,French,
A29334,French,
A29335,French,
A29433,French,
A29839,Latin,
A30113,Welsh,
A30210,Welsh,
A30431,Latin,
A30492,Latin,
A30694,,Latin
A31015,Latin,
A31088,Latin,
A31100,Latin,
A31249,French,
A31261,,"Greek, Latin, French"
A31266,,Latin
A31270,,"Greek, Latin, French"
A31281,,"Latin, French"
A31307,,Latin
A31389,Latin,
A31473,Latin,
A32705,Latin,
A33257,Latin,
A33689,French,Latin
A33731,Latin,
A33997,,Latin
A34111,,Latin
A34133,,Dutch
A34333,Latin,
A34375,Latin,
A34686,Scots Gaelic,
A34790,,Latin
A35066,,Latin
A35218,Welsh,
A35507,Scots English,Latin
A35526,Latin,
A35527,Latin,
A36017,Latin,
A36225,Welsh,
A36226,Welsh,
A36554,Welsh,
A36773,,Latin
A36790,,Latin
A36803,Latin,
A37954,Welsh,
A37955,Welsh,
A37958,Welsh,
A37959,Latin,"Hebrew, Welsh"
A38454,,Latin
A38597,Welsh,
A39346,Latin,
A39349,Latin,
A39352,Latin,
A39362,Latin,
A39535,Latin,
A39536,Latin,
A39537,Latin,
A39541,Latin,
A39544,Latin,
A39545,Latin,
A39590,French,
A39640,,Latin
A39778,French,
A39859,Portugese,
A39995,Latin,
A39996,Latin,
A40111,French,
A40265,,Latin
A40366,Latin,
A40641,Latin,
A40902,Latin,Greek
A41034,Latin,
A41258,Welsh,
A41259,Welsh,
A41268,,Latin
A41353,Welsh,
A41636,Welsh,
A41643,Welsh,
A41646,Welsh,
A41656,Welsh,
A41723,Latin,
A41880,Latin,
