text_name,token_csv_name,basename,corpus_url,slimTV_url,SimpleText Link,Docuscope Tagged Link,Stardardization Tagged Link
A00505.headed.txt,a00505headed-ubiq-tokens.csv,A00505.headed,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/,https://vep.cs.wisc.edu/slimTV/fromURL.html,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/SimpleText/A00505.headed.txt,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/Ubiq321Tokens/a00505headed-ubiq-tokens.csv,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00505.headed_tokens.csv;annotations_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00505.headed_annotations.csv
A00508.headed.txt,a00508headed-ubiq-tokens.csv,A00508.headed,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/,https://vep.cs.wisc.edu/slimTV/fromURL.html,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/SimpleText/A00508.headed.txt,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/Ubiq321Tokens/a00508headed-ubiq-tokens.csv,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00508.headed_tokens.csv;annotations_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00508.headed_annotations.csv
A00522.headed.txt,a00522headed-ubiq-tokens.csv,A00522.headed,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/,https://vep.cs.wisc.edu/slimTV/fromURL.html,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/SimpleText/A00522.headed.txt,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/Ubiq321Tokens/a00522headed-ubiq-tokens.csv,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00522.headed_tokens.csv;annotations_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00522.headed_annotations.csv
A00538.headed.txt,a00538headed-ubiq-tokens.csv,A00538.headed,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/,https://vep.cs.wisc.edu/slimTV/fromURL.html,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/SimpleText/A00538.headed.txt,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/Ubiq321Tokens/a00538headed-ubiq-tokens.csv,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00538.headed_tokens.csv;annotations_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00538.headed_annotations.csv
A00566.headed.txt,a00566headed-ubiq-tokens.csv,A00566.headed,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/,https://vep.cs.wisc.edu/slimTV/fromURL.html,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/SimpleText/A00566.headed.txt,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/Ubiq321Tokens/a00566headed-ubiq-tokens.csv,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00566.headed_tokens.csv;annotations_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00566.headed_annotations.csv
A00673.headed.txt,a00673headed-ubiq-tokens.csv,A00673.headed,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/,https://vep.cs.wisc.edu/slimTV/fromURL.html,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/SimpleText/A00673.headed.txt,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/Ubiq321Tokens/a00673headed-ubiq-tokens.csv,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00673.headed_tokens.csv;annotations_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00673.headed_annotations.csv
A00748.headed.txt,a00748headed-ubiq-tokens.csv,A00748.headed,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/,https://vep.cs.wisc.edu/slimTV/fromURL.html,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/SimpleText/A00748.headed.txt,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/Ubiq321Tokens/a00748headed-ubiq-tokens.csv,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00748.headed_tokens.csv;annotations_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00748.headed_annotations.csv
A00776.headed.txt,a00776headed-ubiq-tokens.csv,A00776.headed,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/,https://vep.cs.wisc.edu/slimTV/fromURL.html,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/SimpleText/A00776.headed.txt,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/Ubiq321Tokens/a00776headed-ubiq-tokens.csv,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00776.headed_tokens.csv;annotations_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00776.headed_annotations.csv
A00908.headed.txt,a00908headed-ubiq-tokens.csv,A00908.headed,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/,https://vep.cs.wisc.edu/slimTV/fromURL.html,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/SimpleText/A00908.headed.txt,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/Ubiq321Tokens/a00908headed-ubiq-tokens.csv,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00908.headed_tokens.csv;annotations_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00908.headed_annotations.csv
A00926.headed.txt,a00926headed-ubiq-tokens.csv,A00926.headed,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/,https://vep.cs.wisc.edu/slimTV/fromURL.html,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/SimpleText/A00926.headed.txt,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/Ubiq321Tokens/a00926headed-ubiq-tokens.csv,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00926.headed_tokens.csv;annotations_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00926.headed_annotations.csv
A00954.headed.txt,a00954headed-ubiq-tokens.csv,A00954.headed,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/,https://vep.cs.wisc.edu/slimTV/fromURL.html,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/SimpleText/A00954.headed.txt,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/Ubiq321Tokens/a00954headed-ubiq-tokens.csv,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00954.headed_tokens.csv;annotations_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00954.headed_annotations.csv
A00969.headed.txt,a00969headed-ubiq-tokens.csv,A00969.headed,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/,https://vep.cs.wisc.edu/slimTV/fromURL.html,https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/SimpleText/A00969.headed.txt,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/Ubiq321Tokens/a00969headed-ubiq-tokens.csv,https://vep.cs.wisc.edu/slimTV/fromURL.html?tokens_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00969.headed_tokens.csv;annotations_url=https://vep.cs.wisc.edu/VEPCorporaRelease/EM1080_Fall2016/StandardizedTokens/A00969.headed_annotations.csv
