TCP,# of Figures
A70582,31
A61366,31
K109756.003.xml,31
A07143,31
A09195,31
A68619,31
A67154,31
A29815,31
K105973.002.xml,31
K080053.002.xml,30
A03420,30
A19376,30
A23279,30
A20450,30
A19052,30
A00113,30
A68256,30
A04985,30
A68635,30
A31753,30
A03458,29
A16196,29
A57043,29
A04911,29
A93601,29
A07363,29
A02872,29
K109756.001.xml,29
A66881,29
N16490,28
A43483,28
A19564,28
K054680.002.xml,28
A16229,28
A04397,28
K091165.000.xml,28
N27259,28
A39580,28
A08306,28
B05862,28
A96634,28
A51548,28
A16510,28
A14350,28
A47555,28
K080662.004.xml,28
A62332,28
A51382,28
A65576,28
A61287,28
A61485,27
A49578,27
K109756.002.xml,27
N16461,27
A55522,27
A66497,27
A43208,27
A13183,27
A96647,27
A10231,27
A29826,27
A44991,27
A31208,27
K109756.004.xml,27
K114986.003.xml,27
A21330,27
A09859,27
A08988,26
A50263,26
A06870,26
A34843,26
A72340,26
A52618,26
A50038,26
A28525,26
A87197,26
N21765,26
A35219,26
A39847,25
A13043,25
A64864,25
A09198,25
A42741,25
A06155,25
B01088,25
A18528,25
A42706,25
A86032,25
A44269,25
A11863,25
A36559,25
A20644,25
N22644,25
A69147,25
A66689,25
A55484,25
N02470,25
A65722,25
A13424,25
B02285,25
A10774,25
A49971,25
A26162,25
K117344.000.xml,25
A57917,24
A55525,24
K080662.001.xml,24
A42371,24
A34925,24
K080662.003.xml,24
A06617,24
A07688,24
A08487,24
A15724,24
A59260,24
A60527,24
A46903,24
A07911,24
A06950,24
A43906,24
A20849,24
K080662.002.xml,24
K080662.005.xml,24
A57335,24
A56585,24
A53615,24
A64883,24
A31414,24
A61244,24
A51310,24
A75624,24
A42079,23
A94280,23
A15752,23
A35748,23
K080421.001.xml,23
A95898,23
N20653,23
A40522,23
A14916,23
A13318,23
A36795,23
A43609,23
N36062,23
A39070,23
N21691,23
N15181,22
A57257,22
A06936,22
K096120.009.xml,22
A57479,22
A78143,22
K113606.003.xml,22
A11395,22
N21890,22
A05711,22
A47492,22
A38677,22
A38383,22
A49437,22
A19165,22
A58003,22
A69842,22
K112026.000.xml,22
A20103,21
A73378,21
A02812,21
A51007,21
A39003,21
A05195,21
A88112,21
K067205.000.xml,21
A67566,21
A27415,21
A96078,21
A07584,21
A59105,21
A18959,21
A05241,21
A40674,21
A60005,21
A48339,21
A56532,21
A10357,21
A17556,21
A19937,21
A47665,21
A88969,21
A29180,21
A11862,21
A13348,21
A08269,21
A40838,21
A44924,20
A60230,20
K085532.000.xml,20
A18344,20
A04327,20
B01850,20
K030166.000.xml,20
A47491,20
K021793.003.xml,20
K103240.000.xml,20
A02044,20
N15971,20
A03861,20
A30658,20
A91999,20
N07603,20
A20847,20
A06157,20
A54573,20
A24159,20
A12248,20
B00949,20
A25369,20
A91838,20
A48774,20
B02420,20
A28529,19
K087416.000.xml,19
A29761,19
A44659,19
A01653,19
A47586,19
A06968,19
A43484,19
A57667,19
A60739,19
A12824,19
N28390,19
A28779,19
A01507,19
A74618,19
A47114,19
K096120.002.xml,19
A79509,19
K063195.000.xml,19
A30490,19
A73575,19
A05272,19
B11293,19
A42527,19
A01408,19
A02362,19
A08912,19
A68108,19
A81077,19
A09258,19
A57644,18
A60494,18
A36106,18
B16297,18
A64893,18
A60281,18
N18753,18
B12021,18
A90787,18
A20012,18
K020370.000.xml,18
A67462,18
A17125,18
K022898.000.xml,18
A46427,18
