TCP,ESTC ,text_name,html_name,serendipFilename,Title,Title 30 Char or fewer,Author,Date,Physical Description,Phys Desc Notes,Derived Date,Publication Place,Publisher,Keywords,Call Number,"Verse, Prose, Mixed ",Helsinki Prototypical Text Category,Non-Helsinki Prototypical,Notes
A06467,S105496,A06467.headed.txt,a06467headed_Docuscope.html,A06467_1533_Atreatiseofcharitie,A treatise of charitie.,TreatiseOfCharity,"Lupset, Thomas, 1495?-1530.",M.D.XXXIII. [1533]],8°,,1533,[Londini :,"In aedibus Thomae Bertheleti,",Charity -- Early works to 1800.,,prose,IR,INST,
A06548,S3962,A06548.headed.txt,a06548headed_Docuscope.html,A06548_1531_Thecoplaynteofalouer,The cäoplaynte of a louers lyfe|Complaynte of a lovers lyfe|Complaint of the black knight,ComplaintOfLoversLife,"Lydgate, John, 1370?-1451?",[1531?],,,1531,Jmprinted at London in the Fletestrete at the sygne of the Sonne :,"By Wynkyn de Worde,",,,verse,NI,NARR,
A06620,S109730,A06620.headed.txt,a06620headed_Docuscope.html,A06620_1601_LouesmetamorphosisAv,"Loues metamorphosis. A vvittie and courtly pastorall, vvritten by Mr. Iohn Lyllie. First playd by the Children of Paules, and now by the Children of the Chappel.|Loves metamorphosis|Loves metamorphosis.",LovesMetamorphosis,"Lyly, John, 1554?-1606.",1601,4°,,1601,London :,"Printed [by S. Stafford] for William Wood, dwelling at the west end of Paules, at the signe of Time,",,,prose,NI,NARR,
A06663,S109188,A06663.headed.txt,a06663headed_Docuscope.html,A06663_1549_Thecastellofcomforte,"The castell of comforte in the whiche it is euidently proued, [that] God alone absolueth, and freli forgeueth the sinners of so many as vnfaynedly repent, and turne vnto hym Lately compyled by Thomas Becon.",CastleOfComfort,"Becon, Thomas, 1512-1567.",[1549?]],8°,,1549,[Imprinted at London :,"By Ihon Daye, dwellinge in Aldersgate, and William Seres, dwellinge in Peter Colledge,","Devotional literature, English -- E.",,prose,IR,ARG,
A06670,S112695,A06670.headed.txt,a06670headed_Docuscope.html,A06670_1581_Thetruereporteofthep,"The true reporte of the prosperous successe which God gaue vnto our English souldiours against the forraine bands of our Romaine enemies lately ariued, (but soone inough to theyr cost) in Ireland, in the yeare 1580. Gathered out of the letters of moste cr",EnglandsVictoryInIreland1580,"A. M., fl. 1581.|Munday, Anthony, 1553-1633,",[1581],4°,,1581,Imprinted at London :,"[By J. Charlewood] for Edward White, dwelling at the little North doore of Paules Church, at the signe of the Gunne,",Ireland -- History -- 1558-1603 -- Early works to 1800.,,prose,NN,NARR,
A06744,S115076,A06744.headed.txt,a06744headed_Docuscope.html,A06744_1637_ThedisplayingofthePo,"The displaying of the Popish masse vvherein thou shalt see, what a wicked idoll the masse is, and what great difference there is between the Lords Supper and the Popes Masse: againe, what Popes brought in every part of the masse, and counted it together i",DisplayingPopishMass,"Becon, Thomas, 1512-1567.",1637,12°,,1637,London :,"Printed by A. G[riffin] for the Company of Stationers,",Mass -- Controversial literature.,,prose,IR,ARG,
A06772,S109202,A06772.headed.txt,a06772headed_Docuscope.html,A06772_1550_Thefortresseofthefay,"The fortresse of the faythfull agaynst [ye] cruel assautes of pouertie and honger newlye made for the comforte of poore nedye Christians, by Thomas Becon.|Fortres of the faythfull.",FortressOfTheFaithful,"Becon, Thomas, 1512-1567.",1550,8°,,1550,[Imprinted at London :,"By Iohn Day dwellynge ouer Aldersgate, and William Seres dwelling in Peter Colledge],",Poor -- Great Britain -- Early works to 1800.|Great Britain -- Economic conditions -- 16th century.,,prose,IR,INST,
A06810,S102562,A06810.headed.txt,a06810headed_Docuscope.html,A06810_1619_TimothiestaskeoraChr,"Timothies taske: or a Christian sea-card guiding through the coastes of a peaceable conscience to a peace constant, and a crowne immortall. Wherein I. Pastors are put in minde of their double dutie, and how to discharge it. 1. Personall, as watchfull men.",TimothysTaskChristianSeaCard,"Mandevill, Robert, 1578-1618.|Vicars, Thomas, d. 1638,",An. Dom. 1619.,4°,,1619,At Oxford :,"Printed by John Lichfield, and James Short,",Christian life -- Early works to 1800.,,prose,IR,INST,
A06832,S101289,A06832.headed.txt,a06832headed_Docuscope.html,A06832_1566_Thegouernaunceofvert,"The gouernaunce of vertue teaching all faythful christia[n]s, how they oughte daily to leade their lyfe,  fruitfully to spend their time vnto the glorye of God  the health of their owne soules. Newlye corrected  augme[n]ted by Thomas Becon. 1566.|Governan",GovernanceOfVirtue,"Becon, Thomas, 1512-1567.",[1566],8°,,1566,Imprinted at London :,"By Iohn Day,",Christian life -- Early works to 1800.,,prose,IR,INST,
A06866,S115309,A06866.headed.txt,a06866headed_Docuscope.html,A06866_1543_Aninuectyueagenstthe,"An inuectyue agenst the moost wicked [and] detestable vyce of swearing, newly co[m]piled by Theodore Basille.|Invectyve agenst the moste wicked and detestable vice of swearing|Inuectyue agaynst swearyng.|Invectyve agaynst swearyng.|Invectyve agenst the mo",InvectiveAgainstSwearing,"Becon, Thomas, 1512-1567.",1543],8°,,1543,[London :,"By J. Mayler and J. Gough,",Swearing -- Early works to 1800.,,prose,IR,INST,
A06880,S117723,A06880.headed.txt,a06880headed_Docuscope.html,A06880_1547_Thebookeofmarchaunte,"The booke of marchauntes very profitable to all folkes to knowe of what wares they ought to be ware of, for the begilyng of them. Newly perused and augmented by the first authoure well practised in suche doynges. Reade and profite.|Livre des marchans. Eng",BookOfMerchants,"Marcourt, Antoine de, d. ca. 1560.|Farel, Guillaume, 1489-1565,",Anno. 1547.,8°,,1547,[Imprinted in Lo[n]don :,"[[By J. Day?] and] are to be sold by Richard Iugge, at the North doore of Pouls. Cum priuilegio ad imprimendum solum],",Catholic Church -- Discipline -- Controversial literature.,,prose,IS,INST,
A06887,S104367,A06887.headed.txt,a06887headed_Docuscope.html,A06887_1548_Hereisashorteresytal,"Here is a shorte resytal or certayne holy doctours whych proueth that the naturall body of christ is not conteyned in the Sacrame[n]t of the Lordes supper but fyguratyuely, collected in myter by Ihon Mardeley.|Here is a shorte resytal or certayne holy doc",ChristsBodyNotInLordsSupper,"Mardeley, John.",[1548?]],8°,,1548,[Imprinted at London :,"In Sainct Andrevves in the VVaredrop, by Thomas Raynalde,",Lord's supper -- Real presence -- Early works to 1800.,,verse,IR,ARG,
A06897,S1783,A06897.headed.txt,a06897headed_Docuscope.html,A06897_1547_Anewedialogbetweneth,"A newe dialog betwene thangell of God,  the shepherdes in the felde concernynge the natiuite and birthe of Jesus Christ our Lorde  Sauyoure : no lesse godlye than swete and pleasante to reade / lately compyled by T.B.",DialogBetweenAngelAndShepherds,"Becon, Thomas, 1512-1567.",[1547?],16°,,1547,[London] :,"Imprynted by me John Daye dwellyng in Sepulchres paryshe a lytle aboue Holbourne conduit,","Christmas -- Poetry.|Religious poetry, English.",,verse,IR,INST,
A06989,S109675,A06989.headed.txt,a06989headed_Docuscope.html,A06989_1549_Thephysykeofthesoule,The physyke of the soule wherin thou shalt finde many Godly emplastures [and] confortable salues agaynst al spiritual diseases very necessary to be red of the true christians in these last and perilous dayes. Set forth by Thomas Becon.,PhysicOfTheSoul,"Becon, Thomas, 1512-1567.",[1549],8°,,1549,Imprinted at london :,"[By T. Raynold and W. Hill] the tenth day of Iulii. Anno Domini .M.D. xlix. And are to be solde by William hill remaining at the Sygne of the Hyll in Paules Churche Yarde,",Christian life -- Anglican authors -- Early works to 1800.,,prose,IR,INST,
A07009,S120173,A07009.headed.txt,a07009headed_Docuscope.html,A07009_1604_Thetragicallhistoryo,The tragicall history of D. Faustus. As it hath bene acted by the right honorable the Earle of Nottingham his seruants. Written by Ch. Marl.|Doctor Faustus|Doctor Faustus.|Tragicall history of Doctor Faustus.,TragicHistoryDrFaustus,"Marlowe, Christopher, 1564-1593.",1604,4°,,1604,London :,"Printed by V. S[immes] for Thomas Bushell,",,,mixed,NI,NARR,
A07026,S119818,A07026.headed.txt,a07026headed_Docuscope.html,A07026_1579_ThebeehiueoftheRomis,"The bee hiue of the Romishe Church a com[m]entarie vpon the sixe principall pointes of Master Gentian Heruet, a Romish Catholike his booke, which is deuided into sixe partes, as in the argument doth appeare. And an epistle made by the authour of this book",BeeHiveOfRomishChurch,"Marnix van St. Aldegonde, Philips van, 1538-1598.|Stell, John, fl. 1580,|Gilpin, George, 1514?-1602,",1579,8°,,1579,Imprinted at London :,"At the three Cranes in the vinetree, by Thomas Dawson, for Iohn Stell, dwelling at the Dukes place, by Creechurch,","Hervet, Gentian, -- 1499-1584. -- Missyve oft seyndbrief aen de verdoolde van den Christen gheloove -- Controversial literature -- Early works to 1800.|Catholic Church -- Controversial literature -- Early works to 1800.",,prose,IR,ARG,
A07038,S112311,A07038.headed.txt,a07038headed_Docuscope.html,A07038_1588_OhreadouerDIohnBridg,"Oh read ouer D. Iohn Bridges, for it is worthy worke: or an epitome of the fyrste booke, of that right worshipfull volume, written against the puritanes, in the defence of the noble cleargie, by as worshipfull a prieste, Iohn Bridges, presbyter, priest or",EpitomeOfBridgesAgainstPuritan,"Marprelate, Martin, pseud.|Throckmorton, Job, 1545-1601,|Penry, John, 1559-1593,",Nov. 1588],4°,,1588,"[Fawsley, Northants.] :","Printed on the other hand of some of the priests [by Robert Waldegrave,","Bridges, John, -- d. 1618. -- Defence of the government established in the Church of Englande for ecclesiasticall matters -- Controversial literature -- Early works to 1800.|Marprelate controversy -- Early works to 1800.",,prose,IR,ARG,
A07050,S109947,A07050.headed.txt,a07050headed_Docuscope.html,A07050_1589_AvvhipforanapeorMart,A vvhip for an ape: or Martin displaied.|Whip for an ape|Whip for an ape: or Martin displaied.|Martin displaied.,WhipForAnApeOrMartinDisplayed,"Lyly, John, 1554?-1606,",1589?],4°,,1589,[London? :,"Printed by T. Orwin?,",Marprelate controversy -- Early works to 1800.,,verse,NI,NARR,
A07225,S114403,A07225.headed.txt,a07225headed_Docuscope.html,A07225_1615_ChristsvictorieouerS,"Christs victorie ouer Sathans tyrannie. Wherin is contained a catalogue of all Christs faithfull souldiers that the Diuell either by his grand captaines the emperours, or by his most deerly beloued sonnes and heyres the popes, haue most cruelly martyred f",ChristsVictoryCatalogMartyrs,"Foxe, John, 1516-1587.|Mason, Thomas, 1580-1619?.",1615,2°,,1615,London :,"Printed by George Eld and Ralph Blower,",Christian martyrs -- Early works to 1800.|Persecution -- Early works to 1800.|Church history -- Early works to 1800.,,prose,NN,NARR,
A07232,S109942,A07232.headed.txt,a07232headed_Docuscope.html,A07232_1548_Thevpcheringeoftheme,The vpcheringe of the messe.|Upcheringe of the messe|Upcheringe of the messe.,UpcheringeOfTheMesse,"Shepherd, Luke, fl. 1548.",[1548?],8°,,1548,Inprinted at Lo[n]don :,"By Iohn Daye and Willyam Seres,",Catholic Church -- Controversial literature -- Early works to 1800.,,verse,IR,ARG,
A07237,S112414,A07237.headed.txt,a07237headed_Docuscope.html,A07237_1623_TheDukeofMillaineAtr,"The Duke of Millaine. A tragædie. As it hath beene often acted by his Maiesties seruants, at the blacke Friers. Written by Philip Massinger Gent.",DukeOfMilanATragedy,"Massinger, Philip, 1583-1640.",1623,4°,,1623,London :,"Prinred [sic] by B[ernard] A[lsop] for Edward Blackmore, and are to be sold at his shop at the great south doore of Pauls,",,,prose,NI,NARR,
A07240,S112421,A07240.headed.txt,a07240headed_Docuscope.html,A07240_1632_ThemaidofhonourAsith,"The maid of honour. As it hath beene often presented with good allowance at the Phœnix in Drurie-Lane, by the Queenes Majesties Servants. Written by Philip Massinger.",TheMaidOfHonor,"Massinger, Philip, 1583-1640.",1632,4°,,1632,London :,"Printed by I[ohn] B[eale] for Robert Allot, and are to be sold at his shop at the signe of the blacke Beare in Pauls Church-yard,",,,prose,NI,NARR,
A07402,S120081,A07402.headed.txt,a07402headed_Docuscope.html,A07402_1550_Aciuilenosgaywherini,A ciuile nosgay wherin is contayned not onelye the offyce and dewty of all magestrates and iudges but also of of [sic] all subiectes with a preface concernynge the lyberty of iustice in this our tyme newly collected and gethered out of latyn and so transl,ACivilNosegay,"Melanchthon, Philipp, 1497-1560.|Goodale, John,",[1550?]],8°,,1550,[[London] :,"Imprynted by me Robart wyer, for Ihon goodale,",Political science -- Early works to 1800.,,prose,EX,EX,"could be considered instructional, but seems more explanatory of everyone's roles than imperative -- Katie agrees with EX"
A07467,S107052,A07467.headed.txt,a07467headed_Docuscope.html,A07467_1613_Theadmirablehistoryo,"The admirable history of the posession and conuersion of a penitent woman. Seduced by a magician that made her to become a witch, and the princesse of sorcerers in the country of Prouince, who was brought to S. Baume to bee exorcised, in the yeare 1610, i",HistoryOfPenitentWitch,"Michaelis, Sébastien, 1543?-1618.|W. B., fl. 1613-1617,",[1613],4°,,1613,At London :,"Imprinted [by F. Kingston] for VVilliam Aspley,",Witchcraft -- Early works to 1800.|Devil -- Early works to 1800.,,prose,NN,NARR,"a little more than half narrative, the rest religious instruction; Katie: I'd keep it as narrative then"
A07480,S104495,A07480.headed.txt,a07480headed_Docuscope.html,A07480_1556_Ashortandfaythfulins,"A short and faythful instruction, gathered out of holy Scripture composed in questions and answeres, for the edifyeng and comfort of the symple Christianes, whych intende worthely to receyue the holy supper of the Lorde.|Claer bewiis, van het recht gebruy",InstructionForSimpleChristians,"Micronius, Marten, d. 1559.|Cranmer, Thomas, 1489-1556,",1556?],8°,,1556,[Emden :,"E. van der Erve,",Lord's supper -- Early works to 1800.,,prose,IR,INST,
A07511,S120698,A07511.headed.txt,a07511headed_Docuscope.html,A07511_1608_Atricktocatchtheoldo,"A trick to catch the old-one. As it hath beene lately acted, by the children of Paules.|Trick to catch the old one.",TrickToCatchOldOne,"Middleton, Thomas, d. 1627.",1608,4°,,1608,At London :,"Printed by George Eld, and are to be sold at his house in Fleet-lane at the signe of the Printers-presse,",,,prose,NI,NARR,
A07513,S112598,A07513.headed.txt,a07513headed_Docuscope.html,A07513_1617_Thetryumphsofhonoran,"The tryumphs of honor and industry. A solemnity performed through the City, at confirmation and establishment of the Right Honorable, George Bovvles, in the office of his Maiesties lieuetenant, the Lord Mayor of the famous Citty of London. Taking beginnin",TriumphsOfHonorAndIndustry,"Middleton, Thomas, d. 1627.",1617,4°,,1617,London :,"Printed by Nicholas Okes,","Bowles, George, -- Lord Mayor of London.",,mixed,NI or NN?,NARR or DESC?,"description and transcript of a lord mayor's day pageant. the story portrayed is fictional/allegorical, but the description is of the real-life performance of that fictional story...."
A07536,S112664,A07536.headed.txt,a07536headed_Docuscope.html,A07536_1638_Sapientiaclamitanswi,"Sapientia clamitans wisdome crying out to sinners to returne from their evill wayes: contained in three pious and learned treatises, viz. I. Of Christs fervent love to bloudy Ierusalem. II. Of Gods just hardning of Pharaoh, when hee had filled up the meas",WisdomCryingOutTreatises,"Jackson, Thomas, 1579-1640.|Donne, John, 1572-1631.|Milbourne, William, b. 1598 or 9,",1638,8°,,1638,London :,"Printed by I. Haviland, for R. Milbourne at the Unicorne neere Fleet-bridge,","Sermons, English -- 17th century.",,prose,IR,INST,
A07555,S121854,A07555.headed.txt,a07555headed_Docuscope.html,A07555_1637_AmaskepresentedatLud,"A maske presented at Ludlow Castle, 1634 on Michaelmasse night, before the Right Honorable, Iohn Earle of Bridgewater, Vicount Brackly, Lord Præsident of Wales, and one of His Maiesties most honorable Privie Counsell.|Comus|Comus.",ComusMasqueAtLudlow,"Milton, John, 1608-1674.|Lawes, Henry, 1596-1662,",1637,4°,,1637,London :,"Printed [by Augustine Mathewes] for Humphrey Robinson, at the signe of the Three Pidgeons in Pauls Church-yard,",,,verse,NI,NARR,
A07656,S110021,A07656.headed.txt,a07656headed_Docuscope.html,A07656_1597_Thecherrieandtheslay,"The cherrie and the slaye. Composed into Scottis meeter, by Alexander Montgomerie.|Cherrie and the slae|Cherrie and the slae.",CherrieAndTheSlayeInScotsMeter,"Montgomerie, Alexander, 1545?-1611.",Anno Dom. 1597.,4°,,1597,Edinburgh :,"Printed be Robert VValde-graue printer to the Kings Majestie,",,,verse,NI,NARR,
A07668,S120561,A07668.headed.txt,a07668headed_Docuscope.html,A07668_1612_Atargetfortillagebri,"A target for tillage briefly containing the most necessary, pretious, and profitable vse thereof both for king and state. By Iohn Moore Minister of Gods word, and Parson of Knaptoft in Leicestershire. Anno 1611.",TargetForTillage,"Moore, John, d. 1619.",1612,8°,,1612,London :,"Imprinted [by R. Field] for William Iones,",Inclosures -- England -- Early works to 1800.,,prose,IR,INST,
A07669,S110028,A07669.headed.txt,a07669headed_Docuscope.html,A07669_1564_Thehopeofhealthwheri,"The hope of health wherin is conteined a goodlie regimente of life: as medicine, good diet and the goodlie vertues of sonderie herbes, doen by Philip Moore.",HopeOfHealth,"Moore, Philip, fl. 1564-1573.",Maii. Anno salutis. M.D.lxiiii. [1564],8°,,1564,Imprinted at London :,"By Ihon Kyngston,","Botany, Medical -- Early works to 1800.|Hygiene -- Early works to 1800.",,prose,EX,EX,
A07674,S110033,A07674.headed.txt,a07674headed_Docuscope.html,A07674_1589_Thehonorablepleasant,"The honorable, pleasant and rare conceited historie of Palmendos. Sonne to the famous and fortunate Prince Palmerin d'Oliua, Emperour of Constantinople and the queene of Tharsus. Translated out of French by A.M. one of the messengers of her Maiesties cham",HistoryOfPalmendos,"Munday, Anthony, 1553-1633,",Anno. Domini. 1589.,4°,,1589,At London :,"Printed by I[ohn] C[harlewood] for Simon Watersonne,  are to be sold in Church-yarde [sic] at the signe of the Crowne,",,,prose,NI,NARR,
A07686,S120562,A07686.headed.txt,a07686headed_Docuscope.html,A07686_1596_Aliuelyanatomieofdea,"A liuely anatomie of death wherein you may see from whence it came, what it is by nature, and what by Christ. Togeather with the power, strength, and sting thereof: as also a preparatiue against the same. Tending to teach men to lyue, and die well to the",LivelyAnatomyOfDeath,"More, John, d. 1592.",1596,8°,,1596,Imprinted at London :,"By G. S[imson] for W. Iones, and are to be solde at the signe of the Gunne neare Holborne Conduit,",Death -- Early works to 1800.,,prose,IR,INST,
A07691,S2237,A07691.headed.txt,a07691headed_Docuscope.html,A07691_1540_Thebokeofthefayregen,"The boke of the fayre genty[l]woman that no man shulde put his truste, or confydence in that is to say, Lady Fortune, flaterynge euery man that coueyteth to haue all, and specyally, them that truste in her, she deceyueth them at laste.",BookOfLadyFortune,"More, Thomas, Sir, Saint, 1478-1535.",[ca. 1540],8°,,1540,[London] :,"Imprinted by me Robert Wyer dwellynge, in Saynt Martyns parysshe, in the Duke of Suffolkes tentes, besyde Charynge Crosse,",,,verse,IS,INST,Date should be 1556
A07704,S104280,A07704.headed.txt,a07704headed_Docuscope.html,A07704_1533_AletterofsyrThoMorek,A letter of syr Tho. More knyght impugnynge the erronyouse wrytyng of Iohn Fryth agaynst the blessed sacrament of the aultare.|Letter of syr Tho. More knyght impugnynge the erronyouse wrytyng of John Fryth agaynst the blessed sacrament of the aultare|Lett,LetterThosMoreOnSacrament,"More, Thomas, Sir, Saint, 1478-1535.",1533],4°,,1533,[Prented at London :,"By W. Rastell,","Frith, John, -- 1503-1533 -- Controversial literature.|Lord's Supper -- Real presence -- Early works to 1800.",,prose,IR,ARG,
A07711,S112890,A07711.headed.txt,a07711headed_Docuscope.html,A07711_1639_ThecommonvvealthofVt,"The common-vvealth of Vtopia containing a learned and pleasant discourse of the best state of a publike weale, as it is found in the government of the new ile called Vtopia. Written by the right Honourable, Sir Thomas Moore, Lord Chancellour of England.|U",MoresUtopia,"More, Thomas, Sir, Saint, 1478-1535.|Robinson, Ralph, b. 1521,|Marshall, William, fl. 1617-1650,",1639,12°,,1639,London :,"Printed by B. Alsop  T. Fawcet, and are to be sold by Wil: Sheares, at his shop in Bedford-street in Coven-garden neere the New Exchange,",Utopias -- Early works to 1800.,,prose,NI,NARR,
A07753,S111843,A07753.headed.txt,a07753headed_Docuscope.html,A07753_1597_Aplaineandeasieintro,"A plaine and easie introduction to practicall musicke set downe in forme of a dialogue: deuided into three partes, the first teacheth to sing with all things necessary for the knowledge of pricktsong. The second treateth of descante and to sing two parts",IntroductionToPracticalMusic,"Morley, Thomas, 1557-1603?",1597,2°,,1597,Imprinted at London :,"By Peter Short, dwelling on Breedstreet hill at the signe of the Starre,",Music -- Theory -- 17th century -- Early works to 1800.,,prose,IS,INST,
A07807,S112912,A07807.headed.txt,a07807headed_Docuscope.html,A07807_1606_Afullsatisfactioncon,"A full satisfaction concerning a double Romish iniquitie; hainous rebellion, and more then heathenish æquiuocation. Containing three parts: the two former belong to the reply vpon the Moderate Answerer; the first for confirmation of the discouerie in thes",DoubleRomishIniquity,"Morton, Thomas, 1564-1659.",1606,4°,,1606,London :,"Printed by Richard Field for Edmond Weauer,","Broughton, Richard. -- Just and moderate answer to a most injurious, and slaunderous pamphlet, intituled, An exact discovery of Romish doctrine in case of conspiracie and rebellion -- Controversial literature -- Early works to 1800.|Catholic Church -- Controversial literature -- Early works to 1800.|Catholics -- England -- Early works to 1800.",,prose,IR,ARG,
A07826,S107028,A07826.headed.txt,a07826headed_Docuscope.html,A07826_1596_Atreatiseofthethreef,"A treatise of the threefolde state of man wherein is handled, 1 His created holinesse in his innocencie. 2 His sinfulnesse since the fall of Adam. 3 His renewed holinesse in his regeneration.",TreatiseOfMansThreefoldState,"Morton, Thomas, of Berwick.",1596,8°,,1596,Printed at London :,"[By R. Robinson] for Robert Dexter and Raph Iackeson,",Man (Christian theology) -- Early works to 1800.,,prose,IR,INST,
A07871,S107531,A07871.headed.txt,a07871headed_Docuscope.html,A07871_1572_Abriefecollectionand,"A briefe collection and compendious extract of the strau[n]ge and memorable things, gathered oute of the cosmographye of Sebastian Munster. Where in is made a playne descrypsion of diuerse and straunge lavves rites, manners, and properties of sundry nacio",CollectionOfStrangeThings,"Münster, Sebastian, 1489-1552.|Eden, Richard, 1521?-1576,",Anno Domini:1572.,8°,,1572,Imprinted at London :,"In fleetstrete neare Sainct Dunstanes Churche by Thomas Marshe,",Geography -- 15th-16th centuries.,,prose,EX,EX,
A07882,S112930,A07882.headed.txt,a07882headed_Docuscope.html,A07882_1603_InmortemserenissimRe,In mortem serenissimæ Reginæ Elizabethæ. Nænia consolans.,BalladOnDeathOfQueenElizabeth,"Mulcaster, Richard, 1530?-1611.",1603,4°,,1603,Londini :,"Pro Edwardo Aggas, via longa sub quercu viridi,","Elizabeth, -- I, -- 1533-1603 -- Poetry -- Early works to 1800.",,verse,NN,NARR,
A07892,S112998,A07892.headed.txt,a07892headed_Docuscope.html,A07892_1582_Abreefeaunswermadevn,"A breefe aunswer made vnto two seditious pamphlets, the one printed in French, and the other in English. Contayning a defence of Edmund Campion and his complices, their moste horrible and vnnaturall treasons, against her Maiestie and the realme. By A.M.|B",DefenseOfEdmundCampion,"Munday, Anthony, 1553-1633.",1582,8°,,1582,Imprinted at London :,"By Iohn Charlewood, dwelling in Barbican, at the signe of the halfe Eagle and Key,","Alfield, Thomas, -- 1552-1585. -- True reporte of the death  martyrdome of M. Campion Jesuite and preiste,  M. Sherwin,  M. Bryan priestes, at Tiborne the first of December 1581 -- Controversial literature -- Early works to 1800.|Campion, Edmund, -- Saint, -- 1540-1581 -- Controversial literature -- Early works to 1800.|Sherwin, Ralph, -- 1550-1581 -- Controversial literature -- Early works to 1800.|Briant, Alexander, -- 1553-1581 -- Controversial literature -- Early works to 1800.|Histoire de la mort que le R.P. Edmond Campion et autres ont souffert en Angleterre -- Controversial literature -- Early works to 1800.",,mixed,IS,ARG,
A07897,S110066,A07897.headed.txt,a07897headed_Docuscope.html,A07897_1601_ThedeathofRobertEarl,"The death of Robert, Earle of Huntington. Otherwise called Robin Hood of merrie Sherwodde: with the lamentable tragedie of chaste Matilda, his faire maid Marian, poysoned at Dunmowe by King Iohn. Acted by the Right Honourable, the Earle of Notingham, Lord",DeathOfRobinHood,"Munday, Anthony, 1553-1633.|Henry, Chettle, d. 1607?.",1601,4°,,1601,Imprinted at London :,"[By R. Bradock] for William Leake,",Robin Hood (Legendary character) -- Drama -- Early works to 1800.,,verse,NI,NARR,
A07907,S113000,A07907.headed.txt,a07907headed_Docuscope.html,A07907_1605_Thetriumphesofrevnit,"The triumphes of re-vnited Britania. Performed at the cost and charges of the Right Worship: Company of the Merchant-Tayulors, in honor of Sir Leonard Holliday kni: to solemnize his entrance as Lorde Mayor of the Citty of London, on Tuesday the 29. of Oct",TriumphsReunitedBritain,"Munday, Anthony, 1553-1633.",[1605],4°,,1605,Printed at London :,"By W. Jaggard,","Holliday, Leonard, -- Sir, -- ca. 1550-1612.",,mixed,NI,NARR,
A07908,S113212,A07908.headed.txt,a07908headed_Docuscope.html,A07908_1596_Thespeculationofvsur,The speculation of vsurie.|The speculation of usurie.|Speculation of usurie.,SpeculationOfUsury,"Bell, Thomas, fl. 1593-1610.",1596,4°,,1596,London :,"Printed by Valentine Symmes,",Interest -- Early works to 1800.|Usury -- Early works to 1800.,,prose,IR,ARG,
A07949,S101552,A07949.headed.txt,a07949headed_Docuscope.html,A07949_1608_Thetryallofthenevvre,"The tryall of the nevv religion. Contayning a plaine demonstration, that the late faith and doctrine of the Church of Rome, is indeede the new religion. By Thomas Bell.|Tryall of the new religion|Tryall of the new religion.",TrialOfNewReligion,"Bell, Thomas, fl. 1593-1610.",1608,4°,,1608,At London :,"Printed by VVilliam Iaggard dwelling in Barbican,",Catholic Church -- Controversial literature.,,prose,IR,ARG,
A07978,S113041,A07978.headed.txt,a07978headed_Docuscope.html,A07978_1638_TotenhamCourtApleasa,Totenham Court. A pleasant comedie: acted in the yeare MDCXXXIII. At the private house in Salisbury-Court. The author Thomas Nabbes.|Totenham-Court.,TotenhamCourtAComedy,"Nabbes, Thomas, 1605?-1645?",1638,4°,,1638,At London :,"Printed by Richard Ovlton, for Charles Greene; and are to be sold at the signe of the White Lyon, in Pauls Church-yard,",,,prose,NI,NARR,
A07993,S105497,A07993.headed.txt,a07993headed_Docuscope.html,A07993_1566_Thegreatwondersthata,"The great wonders that are chaunced in the realme of Naples with a great misfortune happened at Rome and in other places, by an earth quake in the moneth of December last past. Translated out of Frenche into Englishe, by I.A. 1566.|Admonition or warning t",WondersInNaples,"I. A.,|Partridge, John, fl. 1566-1573.",[1566],8°,,1566,[Imprinted at London :,"By Henry Denham by Thomas Hacket, and are to be solde at his shoppe in Lumbart streate],",Earthquakes -- Italy -- Early works to 1800.,,mixed,NN,DESC,a mixed-genre text
A08072,S120748,A08072.headed.txt,a08072headed_Docuscope.html,A08072_1578_24ofAugust1578Adisco,"24. of August. 1578. A discourse of the present state of the wars in the lowe countryes. Wherein is contayned the pittifull spoyle of Askot: and the articles of peace to bee concluded betweene the states, and Don Iohn de Austrea.|Discourse of the present",WarsInLowCountries,,[1578]],8°,,1578,[[London] :,"Imprinted by [J. Charlewood for] VV. B[artlett],","Netherlands -- History -- Wars of Independence, 1556-1648 -- Early works to 1800.",,prose,NN,NARR,
A08171,S110146,A08171.headed.txt,a08171headed_Docuscope.html,A08171_1561_Thehistoryofstrangew,"[The history of strange wonders.].|Strange newes.|Epistle of one frend to another, of a strange fyre that was sene in the aire both longe and brode almost through al Germany.",HistoryOfStrangeWonders,"Camerarius, Joachim, 1500-1574.",1561],8°,,1561,[Imprynted at London :,"By Roulande Hall dvvellynge in Goldynge Lane at the signe of the three arrovves,",Omens -- Early works to 1800.,,prose,NN,NARR,
A08210,S110153,A08210.headed.txt,a08210headed_Docuscope.html,A08210_1626_SirFrancisDrakereuiu,"Sir Francis Drake reuiued calling vpon this dull or effeminate age, to folowe his noble steps for golde  siluer, by this memorable relation, of the rare occurrances (neuer yet declared to the world) in a third voyage, made by him into the West-Indies, in",RelationOfDrakeInWestIndies,"Nichols, Philip.|Drake, Francis, d. 1637,",1626,4°,,1626,London :,"Printed by E[dward] A[llde] for Nicholas Bourne dwelling at the south entrance of the Royall Exchange,","Drake, Francis, -- Sir, -- 1540?-1596.|West Indies -- Discovery and exploration -- Early works to 1800.",,prose,NN,NARR,
