TCP,ESTC
A30736,R209007
A30737,R20327
A30738,R2557
A30739,R10575
A30740,R2958
A30741,R205888
A30743,R7750
A30747,R10365
A30748,R22389
A30749,R12510
A30756,R5445
A30759,R2698
A30770,R32601
A30771,R20075
A30774,R5573
A30775,R2421
A30776,R5054
A30777,R37173
A30779,R15065
A30780,R15066
A30781,R10853
A30785,R23867
A30788,R8063
A30789,R12104
A30790,R23872
A30793,R3916
A30794,R29169
A30795,R37524
A30796,R17463
A30804,R14831
A30805,R24245
A30806,R36317
A30807,R2422
A30809,R16240
A30810,R30264
A30811,R20893
A30812,R216702
A30814,R14883
A30815,R20328
A30816,R2657
A30817,R3165
A30818,R236850
A30819,R213117
A30820,R22823
A30828,R3217
A30830,R16784
A30831,R38556
A30833,R664
A30834,R3552
A30835,R22805
A30837,R28345
A30838,R17203
A30839,R12049
A30840,R11051
A30841,R11000
A30843,R26675
A30845,R2618
A30847,R10948
A30851,R12105
A30853,R218156
A30854,R13606
A30855,R23639
A30857,R217213
A30858,R38715
A30859,R22609
A30860,R11736
A30862,R28326
A30864,R17204
A30866,R33133
A30867,R40747
A30869,R20672
A30870,R4883
A30871,R24192
A30877,R15665
A30879,R37060
A30880,R12425
A30882,R12375
A30883,R12426
A30884,R7494
A30887,R16875
A30889,R28347
A30890,R215790
A30891,R15131
A30892,R10444
A30893,R665
A30895,R1740
A30896,R25264
A30898,R214887
A30899,R37061
A30900,R25909
A30901,R8586
A30903,R216281
A30904,R22049
A30905,R25857
A30906,R22018
A30907,R37062
A30910,R35313
A30911,R4322
A30912,R38717
A30914,R24727
A30915,R211623
A30916,R20623
A30918,R8543
A30919,R5334
A30920,R22629
A30922,R28327
A30923,R7698
A30925,R20191
A30926,R13711
A30928,R23640
A30929,R20207
A30930,R17105
A30931,R28348
A30933,R29003
A30934,R29065
A30936,R22795
A30937,R17077
A30938,R19534
A30942,R23641
A30944,R25858
A30945,R35314
A30948,R713
A30949,R8737
A30950,R3607
A30952,R37063
A30953,R2233
A30955,R25860
A30956,R17123
A30957,R38543
A30958,R37064
A30959,R35315
A30961,R25862
A30962,R13607
A30963,R9050
A30964,R305
A30965,R22773
A30966,R38539
A30967,R2234
A30972,R22775
A30973,R16393
A30974,R4830
A30976,R18233
A30977,R3532
A30978,R209136
A30979,R12483
A30982,R41624
A30983,R27200
A30985,R21506
A30986,R17167
A30987,R10545
A30989,R1803
A30991,R28351
A30992,R12523
A30994,R28352
A30995,R12524
A30997,R12579
A30998,R12630
A31000,R10100
A31002,R9065
A31003,R24194
A31005,R40748
A31006,R7544
A31007,R5386
A31008,R25265
A31009,R30713
A31012,R10496
A31013,R35734
A31015,R37066
A31020,R11456
A31021,R17390
A31023,R17210
A31024,R7334
A31025,R24730
A31027,R13963
A31028,R15796
A31029,R6177
A31030,R3284
A31035,R37067
A31037,R20482
A31038,R23041
A31039,R11565
A31041,R28353
A31042,R14416
A31043,R37068
A31044,R7752
A31050,R213529
A31052,R18358
A31053,R1413
A31054,R29008
A31058,R20292
A31060,R38676
A31061,R10201
A31062,R21934
A31068,R5134
A31073,R29010
A31076,R12830
A31078,R12875
A31080,R17257
A31081,R35742
A31082,R37070
A31083,R12876
A31085,R36644
A31086,R12926
A31087,R11223
A31088,R29507
A31089,R16226
A31091,R29017
A31092,R30215
A31093,R16103
A31094,R12474
A31095,R34200
A31097,R16318
A31100,R8401
A31102,R24735
A31103,R18232
A31106,R9064
A31107,R37078
A31108,R2886
A31109,R29508
A31110,R16055
A31112,R4253
A31113,R32551
A31114,R58
A31115,R21325
A31116,R25959
A31118,R213595
A31119,R29180
A31120,R37533
A31121,R23877
A31122,R220036
A31123,R9428
A31124,R34793
A31125,R24732
A31126,R13828
A31127,R5503
A31128,R22306
A31129,R20678
A31130,T20170
A31131,R15747
A31132,R33349
A31134,R214837
A31135,R38980
A31136,R35469
A31137,R3581
A31138,R14345
A31140,R9024
A31141,R6187
A31142,R34780
A31143,R9732
A31144,R36279
A31145,R8968
A31146,R35829
A31147,R14344
A31149,R18185
A31150,R236599
A31151,R35918
A31152,R14955
A31153,R15249
A31154,R40311
A31155,R40312
A31157,R2378
A31158,R24733
A31159,R7949
A31160,T191267
A31161,R24736
A31162,R38981
A31164,R26442
A31165,R7683
A31166,R7825
A31167,R14755
A31168,R5668
A31169,R214919
A31170,T25898
A31171,R29621
A31172,R18184
A31173,R36280
A31174,R34781
A31175,R24124
A31176,R40313
A31177,R13412
A31179,R3580
A31180,R35470
A31181,R14655
A31182,R14956
A31183,R18154
A31184,R5594
A31185,R34794
A31186,R3534
A31187,R15577
A31190,R19652
A31191,R2299
A31192,R2325
A31193,R9178
A31194,R3533
A31195,R8256
A31196,R10330
A31197,R3489
A31198,R213538
A31199,R38982
A31200,R13086
A31202,T114265
A31203,R9758
A31204,R40314
A31206,R22869
A31208,R19031
A31214,R19153
A31221,R20571
A31222,R28548
A31223,R41881
A31224,R19065
A31225,R21752
A31226,R4054
A31229,R7289
A31231,R5075
A31232,R3787
A31233,R8304
A31234,R38734
A31237,R1297
A31238,R215102
A31243,R26583
A31245,R22983
A31249,R213571
A31250,R214519
A31255,R3047
A31257,R3309
A31258,R10329
A31261,R213667
A31264,R25971
A31266,R213670
A31267,R39947
A31268,R5669
A31270,R37534
A31271,R213671
A31272,R213142
A31275,R13404
A31276,R213133
A31280,R35832
A31281,R213144
A31286,R214165
A31287,R224048
A31289,R230618
A31291,R10634
A31292,R23912
A31293,R41310
A31295,R4107
A31296,R13230
A31297,R34417
A31298,R6334
A31299,R35922
A31301,R1612
A31302,R6987
A31303,R34795
A31304,R24737
A31306,R40784
A31307,R10635
A31308,R37535
A31311,R41311
A31312,R2664
A31328,R26584
A31329,R16648
A31330,R23057
A31334,R9600
A31337,R36282
A31338,R229360
A31340,R29185
A31341,R36283
A31343,R8926
A31344,R35477
A31346,R37537
A31347,R15262
A31348,R8878
A31349,R17127
A31350,R1657
A31352,R24131
A31357,R35933
A31360,R35937
A31361,R22831
A31362,R29186
A31366,R34418
A31367,R24738
A31368,R17547
A31370,R17548
A31375,R25976
A31376,R8824
A31377,R40318
A31380,R35478
A31383,R27249
A31389,R37538
A31390,R1334
A31391,R36286
A31392,R32603
A31394,R27285
A31397,R24741
A31399,R5006
A31401,R36287
A31402,R30885
A31403,R17526
A31404,R17525
A31405,R36288
A31408,R12963
A31414,R13780
A31418,R22818
A31419,R19344
A31421,R29627
A31425,R5516
A31427,R5517
A31428,R1491
A31429,R36289
A31432,R167
A31437,R5692
A31438,R5596
A31440,R8915
A31441,R5055
A31442,R23918
A31445,R7914
A31449,R23919
A31450,R24126
A31451,R36290
A31454,R8822
A31455,R36291
A31456,R8003
A31457,R16298
A31458,R5101
A31459,R36292
A31460,R35480
A31461,R18250
A31462,R7389
A31465,R17590
A31466,R29948
A31468,R35951
A31469,R17979
A31470,R38988
A31471,R9116
A31473,R36294
A31474,R8357
A31475,R17737
A31477,R37539
A31482,R8074
A31485,R38989
A31487,R8765
A31490,R32533
A31491,R1967
A31493,R213149
A31497,R12034
A31498,R7542
A31499,R12622
A31500,R36295
A31502,R39948
A31504,R23921
A31505,R35481
A31508,R25977
A31509,R221852
A31512,R15221
A31514,R11082
A31516,R8125
A31517,R40786
A31518,R18163
A31519,R25979
A31520,R23922
A31521,R22880
A31523,R38995
A31524,R36296
A31525,R9127
A31526,R36297
A31527,R8207
A31529,R4230
A31530,R8969
A31537,R21655
A31538,R3484
A31541,R37542
A31542,R8859
A31544,R9238
A31545,R8258
A31547,R32608
A31552,R20264
A31554,R25334
A31555,R5627
A31557,R5721
A31558,R223270
A31559,R18165
A31561,R224687
A31562,R16316
A31565,R32610
A31568,R34419
A31569,R20294
A31570,R212862
A31590,R11512
A31591,R24257
A31592,R21971
A31596,R13138
A31597,R36298
A31599,R5609
A31608,R36299
A31609,R8747
A31610,R35973
A31611,R37555
A31612,R11660
A31613,R12053
A31614,R8257
A31616,R12178
A31617,R37456
A31618,R35802
A31619,R8410
A31620,R8709
A31621,R39949
A31622,R3961
A31623,R41490
A31624,R215105
A31626,R37457
A31627,R214180
A31628,R8306
A31629,R215106
A31630,R32614
A31631,R217691
A31632,R3960
A31633,R18321
A31634,R25335
A31635,R18744
A31636,R38736
A31637,R9059
A31638,R8828
A31639,R24258
A31640,R40320
A31641,R38996
A31642,R14983
A31643,R216402
A31645,R18776
A31646,R24743
A31647,R35976
A31648,R24744
A31649,R13745
A31652,R8804
A31653,R19331
A31655,R9512
A31656,R32616
A31657,R43079
A31658,R19405
A31659,R35804
A31660,R11704
A31661,R35977
A31663,R24745
A31664,R35979
A31665,R38737
A31666,R24760
A31667,R215107
A31672,R21807
A31675,R19355
A31676,R8359
A31677,R24808
A31679,R6128
A31680,R19832
A31681,R20869
A31682,R37556
A31683,R7569
A31684,R26588
A31685,R32619
A31686,R20219
A31687,R8413
A31688,R25980
A31689,R9206
A31690,R7571
A31691,R27250
A31692,R9049
A31693,R7572
A31694,R9207
A31697,R12147
A31698,R9451
A31699,R35980
A31700,R29189
A31701,R9452
A31703,R4413
A31704,R29191
A31705,R29192
A31706,R17666
A31709,R35806
A31710,R18198
A31711,R35808
A31714,R25981
A31715,R43080
A31716,R43081
A31717,R38999
A31721,R26589
A31722,R13356
A31724,R39000
A31725,R13652
A31726,R34797
A31728,R35809
A31729,R35810
A31730,R9048
A31731,R39001
A31732,R11338
A31733,R21735
A31734,R21751
A31735,R24809
A31737,R32589
A31738,R20295
A31739,R24810
A31740,R7601
A31741,R14676
A31742,R25208
A31743,R20386
A31745,R25749
A31746,R33360
A31747,R11562
A31750,R37458
A31751,R17659
A31753,R12885
A31756,R22962
A31757,R20627
A31759,R20652
A31760,R213820
A31762,R11362
A31763,R29193
A31765,R25982
A31766,R23924
A31771,R6734
A31773,R210950
A31774,R213151
A31781,R20269
A31787,R31642
A31788,R35826
A31803,R26443
A31805,R33352
A31806,R16631
A31817,R41446
A31819,R26423
A31823,R200206
A31827,R41267
A31829,R13311
A31832,R5418
A31833,P1309
A31841,R5722
A31842,R22139
A31845,R30886
A31846,R5723
A31850,R35839
A31851,R11738
A31852,R22985
A31853,R5768
A31854,R25990
A31855,R35981
A31856,R37562
A31858,R22984
A31861,R21016
A31863,R13181
A31873,R6721
A31885,R23084
A31893,R952
A31898,R43082
A31907,R9091
A31910,R170346
A31911,R28553
A31919,R35847
A31921,R39004
A31927,R5769
A31928,R39011
A31929,R4522
A31932,R200152
A31933,R206351
A31937,R13190
A31944,R39014
A31946,R37606
A31948,R26000
A31951,R20329
A31952,R3864
A31955,R215108
A31960,R10981
A31961,R1910
A31963,R39015
A31965,R17824
A31966,R26592
A31972,R35854
A31974,R39016
A31975,R2986
A31983,R23982
A31993,R39018
A31994,R39019
A31997,R22111
A31999,R35982
A32002,R28556
A32006,R41769
A32009,R24817
A32011,R39020
A32012,R10776
A32013,R4905
A32015,R29200
A32016,R19544
A32017,R213822
A32019,R39021
A32020,R39023
A32022,R1658
A32024,R39025
A32025,R39027
A32026,R39028
A32027,R39029
A32029,R39031
A32030,R39033
A32031,R39034
A32033,R22520
A32037,R39047
A32038,R39048
A32039,R7623
A32040,R39050
A32041,R15527
A32042,R225752
A32044,R213849
A32045,R39056
A32046,R33297
A32047,R20268
A32049,R213850
A32050,R224051
A32051,R214920
A32052,R13259
A32053,R213851
A32054,R217253
A32057,R226399
A32058,R5821
A32062,R23880
A32064,R40798
A32065,R26578
A32066,R214181
A32067,R40799
A32068,R40800
A32070,R36115
A32071,R39151
A32072,R225680
A32073,R26593
A32074,R22097
A32075,R171190
A32076,R40801
A32077,R40802
A32078,R40803
A32080,R214854
A32081,R213154
A32082,R216304
A32083,R10147
A32087,R29171
A32091,R6151
A32105,R26009
A32107,R2364
A32109,R11307
A32110,R39153
A32111,R21616
A32113,R39154
A32120,R29203
A32124,R13562
A32125,R11360
A32128,R36117
A32131,R225725
A32135,R29204
A32136,R39155
A32137,R41770
A32138,R35873
A32139,R12747
A32140,R26011
A32143,R26594
A32146,R40808
A32147,R35874
A32155,R29205
A32158,R1362
A32160,R7219
A32161,R39156
A32162,R11853
A32164,R15614
A32165,R43087
A32167,R13932
A32170,R35902
A32171,R23985
A32172,R35904
A32173,R37178
A32174,R18272
A32175,R35906
A32177,R35907
A32178,R35908
A32179,R31283
A32181,R8549
A32188,R9880
A32190,R35912
A32191,R37179
A32193,R213167
A32194,R15722
A32195,R8505
A32196,R14085
A32198,R12981
A32201,R228669
A32202,R9722
A32203,R14040
A32204,R29952
A32206,R39157
A32207,R5612
A32213,R15465
A32222,R13998
A32223,R26012
A32224,R391
A32230,R37459
A32231,R13996
A32232,R39158
A32233,R13350
A32235,R20653
A32237,R12838
A32244,R13032
A32245,R14450
A32249,R35932
A32250,R26013
A32252,R23882
A32253,R14119
A32259,R5598
A32263,R13900
A32264,R29958
A32265,R29959
A32266,R540
A32268,R5407
A32272,R35486
A32279,R35935
A32283,R21632
A32288,R22604
A32293,R17116
A32294,R39159
A32295,R35914
A32296,R4851
A32301,R13191
A32305,R35492
A32306,R18313
A32308,R28545
A32309,R26473
A32310,R35494
A32313,R35917
A32314,R19
A32317,R22959
A32320,R22668
A32321,R35496
A32322,R35497
A32323,R22499
A32324,R35939
A32326,R16202
A32327,R35499
A32328,R24260
A32329,R35500
A32335,R39161
A32337,R26598
A32338,R24261
A32340,R35502
A32343,R37181
A32344,R1507
A32345,R18436
A32347,R34799
A32348,R34818
A32349,R34800
A32350,R8621
A32351,R226468
A32352,R13135
A32353,R225388
A32354,R19476
A32355,R12933
A32356,R28125
A32357,R226652
A32358,R25338
A32359,R26599
A32360,R1828
A32361,R4662
A32363,R2452
A32365,R39950
A32366,R15075
A32367,R2115
A32368,R34801
A32369,R12006
A32371,R13192
A32373,R2382
A32374,R11902
A32375,R34802
A32377,R11697
A32379,R39164
A32380,R36118
A32381,R36119
A32385,R10168
A32387,R10078
A32388,R30888
A32389,R36120
A32391,R30889
A32392,R214875
A32394,R36122
A32395,R34803
A32396,R36123
A32397,R34804
A32399,R36124
A32400,R36125
A32401,R39166
A32403,R34805
A32404,R34806
A32405,R34807
A32409,R36146
A32410,R39168
A32412,R30891
A32414,R39169
A32416,R34808
A32417,R39171
A32418,R34809
A32420,R34810
A32421,R24262
A32424,R7388
A32425,R34811
A32426,R13189
A32428,R36151
A32429,R36153
A32430,R10036
A32431,R36154
A32433,R7453
A32435,R36160
A32436,R34812
A32437,R36162
A32441,R36165
A32442,R36168
A32443,R30893
A32444,R30894
A32445,R34813
A32446,R36170
A32447,R36172
A32449,R36156
A32451,R35815
A32452,R34814
A32453,R35816
A32454,R7655
A32462,R35820
A32464,R35822
A32465,R35825
A32467,R39174
A32468,R213158
A32469,R35828
A32470,R35830
A32471,R39175
A32473,R35831
A32475,R39176
A32477,R39177
A32478,R35833
A32479,R35850
A32480,R35856
A32481,R39951
A32483,R37624
A32484,R30898
A32485,R33370
A32489,R39178
A32490,R213287
A32491,R213289
A32492,R35870
A32493,R222758
A32494,R39179
A32495,R35880
A32497,R30900
A32498,R35881
A32499,R219429
A32500,R35882
A32502,R216305
A32503,R30901
A32510,R35883
A32511,R35884
A32513,R213299
A32514,R33374
A32515,R35885
A32516,R35886
A32517,R35887
A32518,R35888
A32519,R35889
A32520,R35890
A32522,R35891
A32523,R35892
A32524,R35893
A32525,R37625
A32528,R39181
A32530,R35896
A32531,R214154
A32534,R228830
A32535,R35898
A32536,R10037
A32540,R35900
A32541,R39183
A32543,R37626
A32544,R18164
A32545,R35903
A32547,R39184
A32549,R33419
A32550,R33420
A32551,R34815
A32552,R33421
A32553,R221139
A32554,R33422
A32555,R35909
A32556,R5792
A32557,R221480
A32558,R33423
A32559,R30903
A32560,R214849
A32561,R39185
A32562,R39186
A32563,R33424
A32564,R34815
A32566,R214933
A32567,R214894
A32568,R33276
A32569,R33277
A32570,R39187
A32573,R33278
A32574,R2211
A32575,R33279
A32576,R2608
A32577,R37460
A32578,R33280
A32580,R221877
A32581,R213280
A32585,R33281
A32586,R217693
A32590,R35884
A32591,R25342
A32592,R2189
A32593,R213276
A32594,R33284
A32595,R37627
A32596,R2166
A32597,R33285
A32598,R33286
A32599,R35915
A32602,R30905
A32603,R37628
A32604,R35954
A32606,R215026
A32608,R35955
A32609,R225820
A32610,R39202
A32611,R39952
A32612,R35956
A32613,R39953
A32614,R213300
A32615,R39954
A32616,R39955
A32618,R39957
A32620,R30906
A32621,R39203
A32624,R35960
A32628,R213874
A32629,R30907
A32631,R30909
A32632,R214888
A32634,R35963
A32635,R39204
A32636,R39205
A32638,R35964
A32639,R35965
A32640,R33287
A32641,R35966
A32642,R33288
A32643,R214890
A32644,R35968
A32646,R221481
A32649,R35969
A32650,R37630
A32652,R39207
A32654,R213374
A32655,R213161
A32658,R35974
A32659,R34818
A32662,R226624
A32663,R6880
A32664,R7402
A32667,R35504
A32671,R35944
A32673,R4182
A32675,R18561
A32676,R2379
A32677,R4148
A32678,R37631
A32679,R34885
A32681,R39208
A32683,R219344
A32684,R43089
A32686,R43090
A32689,R15719
A32690,R10217
A32693,R13658
A32695,R19926
A32696,R20828
A32698,R15713
A32704,R9545
A32705,R23990
A32712,R10324
A32714,R20046
A32715,R7401
A32719,R35821
A32722,R13260
A32723,R15604
A32724,R24823
A32726,R13224
A32727,R13405
A32734,R2811
A32736,R5654
A32738,R24824
A32739,R2333
A32740,R3682
A32744,R3261
A32745,R33289
A32746,R11201
A32749,R3920
A32750,R29212
A32751,R39210
A32752,R6683
A32753,W19762
A32754,R212688
A32756,R213936
A32757,R22817
A32758,R24825
A32761,R6226
A32762,R38739
A32767,R215133
A32768,R23991
A32770,R19390
A32773,R489
A32774,R9231
A32776,R4896
A32778,R24264
A32779,R35567
A32780,R1330
A32781,R35568
A32782,R32592
A32783,R43092
A32784,R18562
A32785,R35835
A32786,R18461
A32788,R23249
A32790,R23536
A32793,R6733
A32794,R19751
A32795,R23993
A32796,R24267
A32797,R17946
A32798,R37634
A32799,R28557
A32800,R14520
A32801,R34820
A32802,R16168
A32805,R5822
A32812,R24826
A32818,R25964
A32819,R6358
A32820,R5068
A32821,R24827
A32823,R435
A32824,R6628
A32825,R37676
A32826,R1375
A32827,R8738
A32828,R214188
A32829,R23526
A32830,R213948
A32832,R5823
A32833,R5732
A32836,R32609
A32837,R23516
A32838,R18362
A32839,R19413
A32841,R25344
A32843,R20076
A32847,R18390
A32848,R383
A32849,R9935
A32851,R20665
A32852,R29216
A32853,R323
A32854,R18524
A32855,R32611
A32856,R11407
A32857,R20665
A32860,R39211
A32861,R39212
A32862,R22076
A32864,R271
A32867,R23704
A32868,R213176
A32869,R214191
A32871,R30911
A32872,R18525
A32873,R13551
A32874,R29960
A32875,R29217
A32878,R35572
A32879,R39213
A32880,R21864
A32881,R29218
A32882,R215217
A32885,R18982
A32886,R26462
A32887,R215097
A32888,R33290
A32889,R212988
A32891,R224053
A32893,R28558
A32894,R270
A32895,R40810
A32896,R43093
A32897,R217255
A32898,R21826
A32899,R23846
A32900,R23847
A32901,R26018
A32902,R5431
A32903,R18836
A32904,R35574
A32905,R10323
A32908,R22401
A32909,R24269
A32910,R4679
A32912,R37680
A32913,R37674
A32914,R15797
A32915,N1644
A32916,R23705
A32918,R29172
A32919,R203952
A32920,R5625
A32921,R11264
A32922,R208002
A32928,W479527
A32933,R40815
A32934,R40816
A32936,R40817
A32937,R40818
A32940,R213187
A32941,R40820
A32943,R7491
A32945,R217695
A32947,R27643
A32948,R40822
A32949,R40823
A32950,R40824
A32951,R40825
A32952,R1424
A32953,R40826
A32954,R40827
A32955,R11624
A32956,R6104
A32958,R4878
A32959,R41981
A32960,R41982
A32964,R12917
A32965,R5012
A32967,R41875
A32969,R214893
A32970,R213189
A32971,R2951
A32972,R38740
A32977,R1759
A32980,R214040
A32983,R35576
A32987,R40305
A32989,R40829
A32991,R39214
A32992,R211825
A32996,R16368
A32999,R6227
A33001,R2330
A33002,R16017
A33006,R162
A33007,R35946
A33011,R23706
A33013,R202217
A33015,R6950
A33017,R40830
A33019,R214195
A33021,R213190
A33023,R26021
A33024,R26022
A33032,R17173
A33041,R213120
A33048,R35992
A33049,R3735
A33054,R38743
A33055,R37183
A33056,R16960
A33058,R38744
A33060,R173990
A33061,R9557
A33068,R26603
A33070,R36018
A33071,R12883
A33072,R33291
A33073,R43032
A33074,R23708
A33076,R33292
A33078,R18501
A33081,R35582
A33083,R24829
A33084,R24830
A33085,R39979
A33087,R40833
A33089,R11810
A33090,R26023
A33092,R25372
A33093,R26458
A33094,R35840
A33098,R20246
A33099,R22523
A33100,R40834
A33102,R22584
A33104,R40835
A33119,R35585
A33120,R40839
A33121,R2274
A33122,R35586
A33124,R18260
A33126,R38179
A33127,R35590
A33128,R35591
A33129,R20600
A33130,R35592
A33134,R35594
A33135,R33293
A33136,R3774
A33138,R39216
A33140,R39217
A33141,R16551
A33142,R12250
A33143,R33294
A33144,R18465
A33146,R18221
A33148,R6476
A33149,R6250
A33161,R11236
A33162,R11183
A33163,R26024
A33168,R15376
A33174,R18500
A33176,R20450
A33177,R31304
A33178,R22879
A33179,R20092
A33180,R21623
A33182,R216321
A33183,R9486
A33184,R35637
A33186,R13558
A33187,R24831
A33188,R27254
A33189,R19693
A33190,R15375
A33192,R3790
A33193,R15339
A33196,R19334
A33197,R15473
A33198,R35638
A33199,R39218
A33200,R43100
A33201,R108
A33205,R11070
A33206,R12185
A33207,R14565
A33210,R10964
A33211,R171370
A33212,R24832
A33215,R24224
A33217,R37673
A33218,R23257
A33219,R38745
A33220,R7092
A33222,R27257
A33223,R15337
A33224,R7092
A33225,R10868
A33226,R35639
A33227,R29609
A33229,R204587
A33231,R19554
A33234,R21851
A33236,R12286
A33237,R15288
A33238,R14088
A33239,R9205
A33240,R23246
A33241,R20321
A33242,R25965
A33243,R6596
A33245,R33307
A33246,R35640
A33247,R2252
A33249,R37670
A33250,R27840
A33251,R39367
A33252,R23893
A33253,R5680
A33257,R39368
A33258,R10931
A33262,R3416
A33264,R39370
A33265,R39371
A33268,R21566
A33269,R36023
A33270,R11148
A33276,R19361
A33279,R11583
A33280,R11278
A33283,R29962
A33284,R13559
A33285,R13610
A33286,R39983
A33290,R14562
A33291,R11701
A33292,R35642
A33293,R39372
A33295,R34783
A33297,R15233
A33299,R37719
A33300,R26025
A33301,R13987
A33302,R26605
A33303,R11225
A33307,R24835
A33309,R24836
A33311,R36024
A33316,R13609
A33319,R19861
A33320,R10270
A33321,R19882
A33322,R15232
A33324,R43101
A33325,R19883
A33326,R14030
A33327,R19248
A33328,R3775
A33329,R36025
A33332,R36026
A33333,R12590
A33335,R27842
A33338,R1963
A33339,R22652
A33342,R26606
A33343,R23711
A33344,R35643
A33345,R17743
A33346,R15231
A33347,R7838
A33348,R23712
A33349,R11363
A33351,R13455
A33354,R16925
A33355,R26480
A33356,R1246
A33357,R29622
A33359,R16204
A33360,R12536
A33361,R12535
A33363,R12489
A33367,R32621
A33368,R173378
A33370,R215220
A33371,R32623
A33374,R18292
A33377,R17732
A33378,R25307
A33380,R11147
A33382,R23337
A33384,R21816
A33387,R3773
A33390,R316
A33393,R862
A33394,R36021
A33395,R35645
A33397,R35646
A33398,R12342
A33400,R29226
A33406,R215135
A33407,R35647
A33408,R38746
A33409,R35616
A33410,R24724
A33411,R5309
A33412,R914
A33413,R995
A33415,R37728
A33417,R22646
A33419,R25308
A33421,R43102
A33423,R35648
A33424,R171390
A33429,R6762
A33433,R1324
A33434,R5215
A33435,R23713
A33438,R226914
A33439,R171391
A33452,R7539
A33454,R23890
A33455,R27090
A33456,R8935
A33458,R1883
A33459,R21053
A33462,R5922
A33464,R7795
A33467,R18703
A33468,R29615
A33469,R39985
A33470,R27263
A33471,R36030
A33473,R38747
A33474,R26607
A33475,R11584
A33482,R23714
A33483,R6811
A33484,R7951
A33485,R27897
A33486,R23037
A33491,R35618
A33493,R9374
A33494,R9074
A33497,R26608
A33498,R23397
A33501,R26610
A33502,R26611
A33503,R26612
A33507,R37745
A33510,R29227
A33512,R7950
A33513,R26615
A33515,R40843
A33516,R26616
A33517,R5662
A33519,R39987
A33520,R23383
A33521,R40844
A33522,R29964
A33523,R25309
A33524,R40783
A33525,R29965
A33527,R10859
A33528,R7271
A33531,R37185
A33533,R24767
A33534,R12679
A33536,R4959
A33537,R39988
A33538,R7447
A33540,R13402
A33541,R18738
A33542,R17688
A33543,R2774
A33544,R29616
A33545,R32630
A33546,R12934
A33547,R24209
A33548,R10808
A33549,R37750
A33550,R24229
A33551,R37632
A33553,R8482
A33560,R22665
A33563,R2455
A33564,R7843
A33571,R29228
A33580,R38749
A33593,R7529
A33596,R13366
A33597,R23269
A33599,R219456
A33601,R40715
A33602,R12980
A33603,R2848
A33604,R29967
A33605,R1813
A33609,R34821
A33611,R20860
A33613,R32743
A33617,R5797
A33618,R13031
A33619,R1341
A33621,R217258
A33624,R1971
A33627,R1290
A33630,R1843
A33635,R7332
A33636,R26030
A33648,R38649
A33664,R6860
A33673,R31649
A33686,R12792
A33687,R23282
A33688,R39991
A33689,R4318
A33690,R18371
A33691,R214301
A33698,R20800
A33701,R1962
A33706,R2354
A33708,R35652
A33709,R26032
A33710,R12746
A33714,R27611
A33715,R16790
A33716,R27129
A33717,R13279
A33718,R18365
A33719,R8398
A33720,R964
A33721,R35625
A33722,R21541
A33723,R35626
A33724,R18740
A33725,R43106
A33726,R214940
A33727,R40846
A33728,R29637
A33729,R6951
A33730,R18774
A33731,R12693
A33733,R23720
A33734,R34825
A33735,R37653
A33736,R6884
A33738,R224285
A33744,T122737
A33745,R5331
A33746,R5066
A33747,R18407
A33748,R12638
A33750,R1020
A33754,R13911
A33763,R5332
A33770,R27900
A33771,R8275
A33772,R7365
A33775,R39992
A33777,R26033
A33780,R24111
A33791,R12519
A33796,R18796
A33798,R214207
A33799,R214208
A33802,R214211
A33803,R214224
A33804,R214226
A33806,R214231
A33809,R214235
A33810,R214237
A33811,R214241
A33813,R214244
A33814,R214250
A33817,R10140
A33818,R3166
A33819,R40847
A33820,R214325
A33821,R224251
A33822,R640
A33823,R31286
A33824,R214253
A33825,R214255
A33826,R214256
A33827,R214257
A33828,R214258
A33830,R214261
A33831,R214264
A33834,R214267
A33835,R214268
A33836,R214269
A33837,R214270
A33840,R214279
A33841,R214280
A33842,R9879
A33843,R5138
A33846,R214281
A33847,R214282
A33848,R38820
A33849,R13357
A33850,R23725
A33851,R9531
A33854,R214283
A33855,R214284
A33856,R214285
A33857,R214309
A33858,R214310
A33859,R214311
A33864,R13475
A33865,R11022
A33867,R1289
A33868,R30918
A33874,R10177
A33875,R19915
A33876,R25347
A33877,T148945
A33878,R26620
A33879,R213668
A33880,R10752
A33882,R33355
A33883,R33356
A33884,R37677
A33885,R36037
A33886,R29641
A33887,R226287
A33892,R26621
A33894,R27130
A33896,R33304
A33897,R6488
A33898,R18797
A33899,R16602
A33900,R25348
A33901,R25349
A33902,R171438
A33903,R20799
A33904,R18889
A33905,R5003
A33907,R23724
A33908,R21797
A33912,R20832
A33913,R7117
A33914,R24123
A33915,R35653
A33917,R18890
A33918,R20776
A33919,R19806
A33923,R21083
A33925,R23929
A33926,R23058
A33927,R35631
A33929,R20632
A33930,R32494
A33931,R29644
A33935,R31288
A33943,R7012
A33945,R9709
A33947,R12986
A33949,R34778
A33950,R34779
A33951,R12088
A33953,R24774
A33955,R24775
A33959,R5384
A33961,R12985
A33963,R26035
A33964,R28566
A33965,R11698
A33967,R5112
A33970,R43109
A33971,R26441
A33973,R14423
A33979,R18940
A33980,R16837
A33981,R37651
A33984,R2383
A33985,R26037
A33986,R20679
A33987,R18873
A33989,R32496
A33990,R43110
A33996,R13082
A33997,R21779
A33998,R23930
A33999,R17003
A34002,R18891
