TCP,ESTC
A00799,S112327
A00800,S117556
A00801,S110424
A00804,S102115
A00808,S117750
A00810,S105621
A00816,S102148
A00818,S115075
A00819,S100575
A00823,S105617
A00825,S116819
A00826,S113885
A00831,S108401
A00880,S4009
A00883,S112249
A00884,S122112
A00887,S100511
A00888,S1413
A00895,S112253
A00901,S101521
A00908,S102241
A00916,S102269
A00918,S118732
A00919,S102272
A00921,S2125
A00922,S2126
A00923,S118137
A00924,S120245
A00926,S115106
A00927,S120850
A00930,S120667
A00931,S102280
A00932,S121811
A00933,S115832
A00935,S102282
A00939,S116008
A00940,S102283
A00941,S102286
A00942,S3096
A00943,S119672
A00945,S116009
A00946,S105618
A00947,S102293
A00948,S117620
A00951,S114807
A00954,S117621
A00958,S102322
A00959,S102320
A00960,S102356
A00962,S105619
A00966,S102369
A00967,S102374
A00968,S102375
A00969,S106283
A00970,S117622
A00972,S105608
A00973,S105620
A00975,S115109
A00977,S5142
A00979,S102382
A00980,S102384
A00981,S102443
A00982,S118024
A00983,S116011
A00985,S118620
A00989,S102451
A00990,S105629
A00991,S102357
A00993,S100387
A00997,S102361
A01001,S102363
A01002,S113111
A01003,S104433
A01004,S107002
A01005,S102366
A01006,S102371
A01007,S102373
A01008,S115112
A01009,S115113
A01010,S114863
A01011,S118026
A01012,S120899
A01013,S122030
A01014,S102376
A01017,S102453
A01019,S118470
A01020,S121333
A01022,S122635
A01023,S2127
A01025,S114866
A01027,S116489
A01028,S118027
A01030,S120856
A01032,S118029
A01033,S102456
A01038,S102457
A01039,S102458
A01041,S114324
A01042,S102413
A01043,S113684
A01044,S123110
A01045,S102430
A01046,S102460
A01047,S102422
A01048,S105633
A01049,S102425
A01052,S102516
A01053,S114264
A01055,S102509
A01056,S102512
A01057,S102426
A01058,S121028
A01059,S120140
A01062,S113739
A01064,S104437
A01066,S116412
A01069,S102518
A01072,S119684
A01073,S113117
A01075,S102531
A01076,S119405
A01077,S121939
A01078,S105640
A01080,S102454
A01083,S102544
A01084,R212820
A01085,S115261
A01086,S101540
A01088,S118032
A01089,S102472
A01090,S102538
A01091,S102476
A01092,S120710
A01093,S121334
A01094,S102529
A01095,S121332
A01097,S113749
A01098,S3384
A01099,S102487
A01100,S119685
A01101,S103986
A01107,S102496
A01108,S105645
A01115,S102503
A01118,S116950
A01125,S113436
A01128,S100333
A01129,S102546
A01130,S116021
A01136,S108651
A01138,S121055
A01139,S114872
A01141,S105625
A01143,S120926
A01144,S102558
A01145,S122364
A01147,S109493
A01148,S102563
A01149,S112836
A01150,S114874
A01151,S112646
A01152,S112648
A01154,S112654
A01155,S112655
A01157,S116492
A01158,S108602
A01159,S120957
A01160,S121331
A01161,S121258
A01162,S119978
A01164,S102578
A01165,S102586
A01167,S121558
A01169,S112657
A01170,S102585
A01171,S117836
A01173,S116023
A01175,S102588
A01177,S116494
A01180,S102594
A01181,S117189
A01185,S100339
A01186,S114327
A01189,S105630
A01190,S117195
A01192,S118734
A01194,S102613
A01196,S112675
A01197,S118480
A01198,S112679
A01199,S109718
A01200,S4305
A01202,S105599
A01203,S118623
A01209,S102617
A01210,S102619
A01216,S100347
A01217,S3213
A01218,S117289
A01219,S112684
A01221,S118714
A01222,S118717
A01224,S118719
A01225,S105636
A01227,S105635
A01228,S105650
A01231,S102621
A01233,S102623
A01234,S120858
A01235,S120859
A01236,S116026
A01238,S102622
A01239,S119408
A01240,S118722
A01243,S105595
A01245,S109822
A01247,S102782
A01248,S118601
A01250,S119413
A01252,S113774
A01253,S117291
A01255,S106417
A01256,S105653
A01258,S102664
A01260,S111986
A01261,S102668
A01262,S4308
A01267,S3374
A01268,S105657
A01272,S105656
A01273,S109726
A01278,S109824
A01279,S102643
A01281,S100411
A01283,S102662
A01284,S102687
A01286,S105667
A01287,S102759
A01289,S102772
A01292,S102689
A01297,S116544
A01299,S102704
A01300,S102773
A01303,S102776
A01304,S120640
A01309,S102715
A01312,S112721
A01313,S102684
A01320,S102756
A01324,S112728
A01325,S102732
A01327,S102774
A01331,S112799
A01332,S117689
A01333,S102737
A01335,S102742
A01336,S122230
A01338,S102744
A01341,S102822
A01342,S121250
A01344,S4310
A01346,S102824
A01347,S102826
A01348,S106762
A01349,S105662
A01351,S119694
A01353,S105663
A01354,S102758
A01362,S3030
A01363,S121820
A01364,S121249
A01365,S105670
A01366,S109825
A01368,S118624
A01369,S105723
A01371,S117690
A01372,S2680
A01373,S121825
A01374,S120395
A01375,S102778
A01376,S105724
A01377,S120492
A01378,S109501
A01379,S115603
A01382,S105725
A01383,S120863
A01387,S102781
A01389,S102784
A01391,S117209
A01395,S102803
A01401,S102833
A01402,S102804
A01403,S102834
A01404,S121075
A01405,S102839
A01406,S105669
A01407,S105674
A01408,S102805
A01410,S117692
A01420,S120493
A01424,S102806
A01425,S102807
A01426,S105675
A01428,S113824
A01429,S3048
A01430,S3062
A01433,S4312
A01436,S119708
A01443,S114900
A01444,S105693
A01445,S92644
A01446,S100504
A01448,S114902
A01449,S115164
A01450,S102818
A01451,S102820
A01452,S118892
A01453,S105696
A01454,S100506
A01455,S118176
A01456,S115875
A01457,S102823
A01461,S102868
A01463,S102856
A01464,S102849
A01466,S102829
A01467,S2992
A01468,S102855
A01469,S110810
A01470,S118826
A01471,S118827
A01472,S102859
A01473,S102832
A01474,S115876
A01475,S115877
A01476,S109836
A01483,S106900
A01490,S100190
A01491,S114738
A01492,S113062
A01500,S105698
A01501,S105700
A01502,S105701
A01503,S102860
A01504,S105703
A01505,S118177
A01506,S105704
A01507,S102867
A01509,S120868
A01511,S102905
A01512,S102909
A01513,S105691
A01514,S102875
A01516,S100507
A01517,S105710
A01518,S102877
A01520,S105718
A01521,S117137
A01522,S102876
A01523,S102880
A01524,S105720
A01528,S102884
A01529,S102885
A01530,S102889
A01531,R212839
A01532,S102914
A01533,S102921
A01534,S102916
A01537,S102969
A01538,S102970
A01539,S120494
A01540,S102920
A01541,S102975
A01545,S102922
A01547,S117263
A01548,S102988
A01550,S102924
A01551,S102989
A01552,S106909
A01553,S102990
A01554,S118743
A01555,S102948
A01556,S117946
A01558,S102950
A01559,S102991
A01560,S102992
A01562,S118745
A01564,S2682
A01565,S122512
A01566,S114903
A01567,S102953
A01568,S119709
A01569,S102996
A01570,S103007
A01573,S100383
A01575,S103012
A01576,S103001
A01580,S115878
A01581,S103057
A01582,S122270
A01584,S117140
A01586,S117951
A01592,S119710
A01594,S103016
A01596,S103017
A01597,S103018
A01598,S3207
A01600,S103059
A01612,S650
A01615,S121098
A01617,S103037
A01618,S108633
A01622,S122165
A01624,S120317
A01627,S103064
A01628,S120495
A01629,S4316
A01631,S105728
A01632,S118756
A01635,S117393
A01637,S4062
A01638,S103039
A01639,S115271
A01645,S103073
A01647,S118976
A01648,S113839
A01653,S244
A01655,S103058
A01656,S118829
A01657,S103091
A01658,S103060
A01661,S110820
A01662,S103098
A01664,S110813
A01666,S115248
A01673,S122015
A01675,S118274
A01676,S103122
A01678,S120320
A01679,S116511
A01680,S2684
A01681,S3028
A01682,S113889
A01683,S100517
A01684,S103125
A01685,S101910
A01689,S103065
A01690,S118766
A01691,S118374
A01692,S114832
A01694,S105731
A01695,S114026
A01697,S118276
A01698,S118451
A01700,S102994
A01701,S112170
A01703,S2130
A01704,S103127
A01705,S114963
A01706,S103090
