TCP,text_name,component0,component1
A00279,A00279.headed.txt,0.904830868,1.790007561
A00280,A00280.headed.txt,0.246501299,2.319959855
A00281,A00281.headed.txt,1.532842428,-0.093514705
A00282,A00282.headed.txt,4.783241661,-0.173898588
A00283,A00283.headed.txt,4.230962247,-0.124887811
A00284,A00284.headed.txt,2.344977012,0.904964163
A00285,A00285.headed.txt,2.496221784,-1.44824848
A00286,A00286.headed.txt,1.132727752,0.742255043
A00287,A00287.headed.txt,3.256729019,-2.185032927
A00288,A00288.headed.txt,2.724895371,-1.560030675
A00289,A00289.headed.txt,1.455586037,-0.899972367
A00290,A00290.headed.txt,-2.529662208,1.506711345
A00291,A00291.headed.txt,-6.82303984,-3.190268241
A00292,A00292.headed.txt,1.824576667,-2.571967468
A00293,A00293.headed.txt,-2.7779136,0.834087171
A00294,A00294.headed.txt,2.969632093,-0.96930447
A00296,A00296.headed.txt,-2.200104106,0.434487607
A00297,A00297.headed.txt,-2.698190737,-0.574142359
A00299,A00299.headed.txt,0.85636053,0.563222822
A00301,A00301.headed.txt,-1.217016308,1.948717648
A00303,A00303.headed.txt,-1.509235725,1.909632487
A00307,A00307.headed.txt,0.657904268,1.524728925
A00308,A00308.headed.txt,0.125977256,1.454964533
A00309,A00309.headed.txt,-7.951861551,-2.709366065
A00313,A00313.headed.txt,-2.908256284,-1.127851366
A00316,A00316.headed.txt,-1.660441203,0.366683443
A00320,A00320.headed.txt,-1.032593668,1.470177737
A00321,A00321.headed.txt,-1.848673683,1.89331245
A00325,A00325.headed.txt,-1.63867391,-4.13656554
A00327,A00327.headed.txt,0.962556397,1.603473862
A00329,A00329.headed.txt,-1.781837446,1.531395499
A00331,A00331.headed.txt,-2.761512686,1.791924718
A00332,A00332.headed.txt,-2.94986477,1.976872251
A00333,A00333.headed.txt,-2.001648079,1.643006322
A00336,A00336.headed.txt,-2.021941873,2.012265057
A00337,A00337.headed.txt,-1.182660426,3.207994042
A00338,A00338.headed.txt,-0.270581273,2.254523666
A00341,A00341.headed.txt,-1.387781132,1.629114532
A00342,A00342.headed.txt,-0.325094002,1.663152345
A00344,A00344.headed.txt,-2.242841262,-1.139266822
A00349,A00349.headed.txt,-2.481121314,1.502901128
A00350,A00350.headed.txt,-2.234744258,2.222075239
A00354,A00354.headed.txt,-0.252237744,1.430173988
A00356,A00356.headed.txt,-0.29559534,2.314190761
A00358,A00358.headed.txt,-2.016379616,2.398473817
A00361,A00361.headed.txt,-1.0989698,2.103677108
A00363,A00363.headed.txt,-0.819981333,1.856077428
A00364,A00364.headed.txt,-0.917071971,-0.131332767
A00374,A00374.headed.txt,0.626196839,1.941751326
A00375,A00375.headed.txt,0.124619553,1.51826692
A00376,A00376.headed.txt,-0.06679843,0.893366412
A00377,A00377.headed.txt,-0.369518822,1.931946864
A00378,A00378.headed.txt,0.794282006,1.826993109
A00380,A00380.headed.txt,0.4175114,1.698166962
A00381,A00381.headed.txt,-0.118576136,1.82687339
A00382,A00382.headed.txt,-2.104587721,2.082379254
A00384,A00384.headed.txt,-1.37100013,1.448238215
