ngram,corpus frequency,document frequency,rank in corpus
fight,241,34,297
arms,241,32,297
villain,240,34,298
together,240,35,298
spirit,240,36,298
loves,240,34,298
left,240,36,298
says,238,34,299
high,237,35,300
borne,237,35,300
prove,236,35,301
present,235,35,302
believe,234,36,303
court,233,29,304
business,232,34,305
seek,230,35,306
alas,229,35,307
lies,227,36,308
fly,226,34,309
thoughts,225,35,310
ill,224,35,311
beseech,224,32,311
wrong,223,35,312
worthy,221,35,313
told,221,36,313
half,221,35,313
gave,220,35,314
care,220,36,314
foul,218,34,315
between,218,35,315
cousin,217,22,316
yes,216,36,317
mark,216,36,317
service,215,35,318
bloody,215,31,318
horse,214,31,319
found,214,36,319
days,214,36,319
york,213,9,320
times,213,35,320
less,213,34,320
prithee,212,29,321
gold,212,34,321
desire,212,34,321
new,211,36,322
each,211,36,322
devil,210,34,323
same,209,35,324
talk,208,36,325
royal,208,31,325
pity,208,36,325
die,208,34,325
wish,207,35,326
here's,207,35,326
alone,206,36,327
sit,205,36,328
ne'er,205,36,328
bin,205,35,328
sun,204,36,329
purpose,204,36,329
near,204,36,329
lives,204,34,329
child,203,33,330
letter,201,24,331
law,201,31,331
knows,200,35,332
grief,200,32,332
least,198,35,333
company,198,36,333
called,198,35,333
sea,197,35,334
land,197,29,334
ha's,197,23,334
cry,197,34,334
charge,197,35,334
ha,196,31,335
draw,196,35,335
years,195,34,336
read,195,34,336
looks,195,36,336
save,194,36,337
wear,192,36,338
remember,191,36,339
loose,191,35,339
hearts,191,34,339
return,190,32,340
proud,190,33,340
kill,190,36,340
selves,189,35,341
highness,189,25,341
gracious,189,34,341
happy,188,35,342
uncle,187,23,343
people,187,33,343
late,187,35,343
cold,187,35,343
run,186,35,344
given,186,35,344
general,186,28,344
holy,184,35,345
serve,183,36,346
known,183,36,346
further,183,29,346
because,183,34,346
kiss,182,32,347
joy,181,34,348
comfort,181,34,348
work,180,31,349
patience,180,35,349
neither,180,35,349
heavens,180,33,349
air,180,34,349
worth,179,35,350
virtue,179,36,350
strong,178,33,351
need,178,35,351
free,178,35,351
sister,177,28,352
sight,177,35,352
is't,177,34,352
gentlemen,177,32,352
ear,177,35,352
loved,176,34,353
