text_name,text_key,token_csv_name,chunk_index,!UNRECOGNIZED,!UNTAGGED,!BLACKLISTED,AbstractConcepts,Acknowledge,Anger,Apology,Aside,Attack_Citation,Authoritative_Citation,Autobio,Biographical_Time,Cause,Citations,CommonAuthorities,CommunicatorRole,Comparison,Concessive,Confidence,ConfirmExperience,ConfirmedThght,Confront,Consequence,Contested_Citation,Contingency,Curiosity,Definition,DenyDisclaim,DialogCues,DirectAddress,DirectReasoning,Disclosure,ErrorRecovery,Example,Exceptions,Fear,Feedback,FirstPer,FollowUp,Future_Question,Future_in_Past,Generalization,GenericEvents,Immediacy,Imperative,In_Media,Inclusive,Innovations,Insist,Intensity,LangRef,MatureProcess,Metadiscourse,Motions,MoveBody,Narrative_Verbs,NegFeedback,Neg_Citation,Negative_Attribution,Negative_Relation,Negativity,Neutral_Attribution,Numbers,OpenQuery,OralCues,PersonPronoun,PersonProperty,PosFeedback,Positive_Attribution,Positivity,Precedent_Defending,Precedent_Setting,PredictedFuture,PriorKnowledge,PrivateThinking,Procedures,ProjectAhead,ProjectBack,Promise,Question,Quotation,ReasonBackward,ReasonForward,Reassure,ReceivedPOV,RecurringEvents,Reinforce,Reluctance,Repair_Citation,ReportingEvents,ReportingStates,Request,Resemblances,Resistance,Responsibility,Sad,SceneShift,SelfDisclosure,SelfReluctance,Self_Promise,SenseObject,SenseProperty,Sequence,SpaceRelation,Specifiers,Speculative_Citation,StandardsNeg,StandardsPos,SubjectivePercept,SubjectiveTime,Substitution,Support,TimeDate,TimeDuration,TimeShift,Transformation,Uncertainty,Updates,<# Word Tokens>,<# Punctuation Tokens>,<# Tokens>
A00456.headed.txt,a00456headed,a00456headed-ubiq-tokens.csv,0,6.378759502,28.10399912,0,3.029635342,0.033050567,0.220337116,0.022033712,0.066101135,0,0,0.473724799,0.275421395,0.275421395,0.352539385,1.299988983,0.011016856,0.319488818,0.121185414,0.396606808,0,0,0,0,0.022033712,1.905916052,0.41864052,0,1.520326099,0,3.42624215,0.022033712,0.055084279,0,0,0.264404539,0.264404539,0,3.238955602,0,0.341522529,0,0.275421395,0.275421395,0.561859645,0.143219125,0.044067423,0.286438251,0,0.594910213,1.531342955,0.440674232,0,0.297455106,1.079651867,0,0.110168558,0,0.011016856,0,0.220337116,2.853365649,0.110168558,0.143219125,0.033050567,1.46524182,1.344056406,2.313539716,0,0.066101135,2.258455437,0,0,0.749146194,0,0.473724799,0,1.233887848,0.727112482,0,1.399140685,0,0.022033712,1.311005839,0.044067423,0.055084279,0.198303404,0,0,0,3.205905035,2.027101465,0.110168558,0.253387683,2.016084609,0.044067423,0.341522529,0.242370827,1.035584444,0,0.110168558,3.470309574,1.0466013,1.233887848,1.663545224,1.167786714,0,0.572876501,2.269472293,1.156769858,0.220337116,0,0,0,0.848297896,0.242370827,0.20932026,0.638977636,0.341522529,7546,1531,9077
A00471.headed.txt,a00471headed,a00471headed-ubiq-tokens.csv,0,7.940552017,19.13658882,0,2.250530786,0.141542817,0.099079972,0.028308563,0.042462845,0,0,0.651096957,0.25477707,0.25477707,0.410474168,2.151450814,0,0.920028309,0.198159943,1.01910828,0,0,0.028308563,0.028308563,0,1.910828025,0.226468507,0,1.740976645,0,4.543524416,0,0.184005662,0,0,0.127388535,0.127388535,0,5.392781316,0.042462845,0.693559802,0,0.622788393,0.198159943,1.245576787,0.08492569,0,0.693559802,0,1.726822364,2.024062279,0.368011323,0,0.50955414,0.410474168,0.028308563,0.16985138,0,0,0,0.070771408,1.740976645,0.113234253,0.283085633,0.056617127,1.415428167,0.891719745,1.387119604,0,0,2.307147912,0,0,1.78343949,0,0.76433121,0,1.075725407,0.736022647,0,0.481245577,0,0.16985138,0.523708422,0.042462845,0.099079972,0.184005662,0,0,0.014154282,4.203821656,1.854210899,0.056617127,0.056617127,1.344656759,0.226468507,0.608634112,0.976645435,2.788393489,0.042462845,0,1.854210899,0.693559802,0.905874027,1.854210899,2.094833687,0,0.467091295,3.779193206,0.792639774,0.523708422,0.042462845,0,0.028308563,0.778485492,0.33970276,0.212314225,0.198159943,0.50955414,6828,237,7065
A00723.headed.txt,a00723headed,a00723headed-ubiq-tokens.csv,0,3.378602186,23.082383,0,1.826527232,0.089906781,0.160885818,0.014195808,0.217669048,0,0,0.690862632,0.345431316,0.17034969,0.392750674,1.24923106,0,0.828088771,0.198741305,0.68139876,0.014195808,0.028391615,0.094638717,0.028391615,0.009463872,1.561538826,0.255524535,0.023659679,1.959021436,0.085174845,6.534803388,0.033123551,0.123030332,0,0,0.175081626,0.203473241,0,3.274499598,0,0.269720343,0.014195808,0.506317134,0.378554867,0.719254247,0.392750674,0,0.39748261,0.004731936,0.889603937,1.490559788,0.288648086,0.014195808,0.529976814,0.870676194,0,0.236596792,0,0,0.009463872,0.264988407,2.129371126,0.369090995,0.326503573,0.05678323,1.116736857,1.807599489,3.809208347,0,0.009463872,1.963753372,0,0,0.913263616,0.014195808,0.525244878,0.023659679,0.984242654,1.07888137,0.052051294,2.001608858,0.009463872,0.089906781,1.012634269,0.070979038,0.052051294,0.184545498,0,0,0.023659679,3.094686036,2.328112431,0.123030332,0.425874225,2.082051767,0.160885818,0.22713292,0.326503573,2.157762741,0.028391615,0.037855487,2.947996025,1.107272985,0.591491979,1.812331425,1.580466569,0,0.79496522,2.299720816,1.55680689,0.22713292,0.014195808,0.037855487,0,0.548904557,0.274452278,0.255524535,0.548904557,0.776037477,17803,3330,21133
A00725.headed.txt,a00725headed,a00725headed-ubiq-tokens.csv,0,2.729618163,24.42208462,0,2.198142415,0.08255934,0.206398349,0.020639835,0.299277606,0,0.005159959,0.68627451,0.376676987,0.196078431,0.423116615,1.13003096,0,0.552115583,0.175438596,0.546955624,0.020639835,0.077399381,0.067079463,0.010319917,0,1.522187823,0.196078431,0.030959752,1.981424149,0.015479876,5.722394221,0,0.221878225,0,0.005159959,0.211558308,0.232198142,0,3.199174407,0,0.180598555,0,0.366357069,0.247678019,0.64499484,0.464396285,0.010319917,0.325077399,0.005159959,0.944272446,1.57378741,0.263157895,0,0.60371517,0.68627451,0,0.185758514,0,0,0.015479876,0.366357069,2.389060888,0.407636739,0.371517028,0.04127967,1.496388029,1.470588235,3.214654283,0,0.020639835,2.172342621,0,0,1.099071207,0.020639835,0.40247678,0.015479876,0.918472652,0.825593395,0.010319917,1.842105263,0,0.072239422,0.964912281,0.072239422,0.061919505,0.154798762,0,0,0.010319917,3.157894737,2.105263158,0.154798762,0.417956656,2.182662539,0.08255934,0.294117647,0.526315789,2.100103199,0.010319917,0.067079463,3.255933953,1.119711042,0.835913313,2.105263158,1.604747162,0,0.717234262,2.115583075,1.707946336,0.263157895,0,0.08255934,0,0.510835913,0.423116615,0.314757482,0.541795666,0.799793602,16263,3117,19380
A00760.headed.txt,a00760headed,a00760headed-ubiq-tokens.csv,0,4.94139849,27.94000795,0,2.800953516,0.024831148,0.461859356,0,0.27810886,0,0.024831148,0.089392133,0.178784267,0.13905443,0.243345252,1.296185936,0.00496623,0.913786253,0.153953119,0.357568534,0,0.019864919,0,0.009932459,0.009932459,1.137266587,0.248311482,0.009932459,1.018077076,0,2.294398093,0,0.173818037,0,0.014898689,0.114223282,0.357568534,0,1.554429877,0,0.153953119,0,0.471791816,0.258243941,0.590981327,0.754866905,0,1.400476758,0.019864919,0.441994438,1.077671832,0.392332141,0,0.312872467,1.892133492,0.059594756,0.327771156,0,0.00496623,0,0.561183949,2.617203019,0.168851808,0.516487882,0.014898689,0.511521653,1.9268971,1.837504966,0,0.009932459,2.20003973,0,0,0.536352801,0,0.307906238,0.009932459,1.181962654,0.377433453,0.019864919,1.494835121,0,0.024831148,0.735001986,0.029797378,0.024831148,0.243345252,0,0,0.034763607,3.863726659,2.001390544,0.024831148,0.218514104,1.91696464,0.059594756,0.243345252,0.253277712,0.536352801,0,0.009932459,6.619984108,2.656932857,0.859157727,2.805919746,1.132300358,0,0.516487882,2.47318236,1.206793802,0.248311482,0.039729837,0.039729837,0,0.68037346,0.238379023,0.228446563,0.27314263,0.496622964,16639,3497,20136
A00958.headed.txt,a00958headed,a00958headed-ubiq-tokens.csv,0,3.092827913,24.72108551,0,2.330389834,0.077536076,0.236915787,0,0.228300668,0,0,0.262761146,0.267068706,0.18091751,0.262761146,1.438724962,0.00861512,0.762438079,0.167994831,0.534137411,0,0.060305837,0.068920956,0.017230239,0.017230239,1.464570321,0.452293776,0.00861512,1.748869266,0,6.189963386,0.021537799,0.18091751,0,0.025845359,0.228300668,0.447986216,0,2.425156149,0.012922679,0.219685548,0,0.611673487,0.391987939,1.033814344,0.594443248,0,0.801206117,0.012922679,1.012276545,1.266422572,0.232608227,0,0.615981047,1.012276545,0.00861512,0.18091751,0,0,0.00430756,0.314451863,2.420848589,0.198147749,0.452293776,0.043075598,0.654749085,1.66271807,2.752530691,0,0.00861512,1.903941417,0.012922679,0,0.904587551,0.00861512,0.417833297,0.034460478,1.30519061,0.659056644,0.021537799,2.386388111,0,0.068920956,0.92181779,0.086151195,0.047383157,0.223993108,0,0,0.012922679,3.390049537,2.59745854,0.099073875,0.323066983,1.718716347,0.137841913,0.344604781,0.331682102,1.180271376,0,0.00861512,3.433125135,1.029506784,0.771053198,1.796252423,1.567951755,0,0.659056644,2.881757484,1.718716347,0.18522507,0.068920956,0.00861512,0,0.542752531,0.54706009,0.262761146,0.318759423,0.611673487,19377,3838,23215
A00959.headed.txt,a00959headed,a00959headed-ubiq-tokens.csv,0,2.73894059,23.53901116,0,2.337582146,0.07497905,0.246989812,0,0.167600229,0,0.008821065,0.251400344,0.277863538,0.176421294,0.264631941,1.486349402,0.008821065,0.65716932,0.132315971,0.542495479,0,0.048515856,0.039694791,0.022052662,0.017642129,1.517223129,0.401358444,0.008821065,1.848013055,0,6.029197724,0.008821065,0.198473956,0,0.035284259,0.242579279,0.458695365,0,2.474308649,0.013231597,0.229347682,0,0.639527191,0.410179509,1.058527764,0.710095709,0,0.776253694,0.013231597,1.058527764,1.309928108,0.489569091,0,0.546906012,1.076169894,0.017642129,0.194063423,0,0,0.004410532,0.330789926,2.461077052,0.211705553,0.4498743,0.044105324,0.445463767,1.671591761,2.835972302,0,0.008821065,1.98915009,0.013231597,0,0.948264456,0.008821065,0.471926962,0.026463194,1.437833547,0.648348256,0.022052662,2.200855643,0,0.070568518,0.992369779,0.097031712,0.048515856,0.216116085,0,0,0.008821065,3.56371014,2.708066864,0.079389582,0.295505668,1.676002293,0.101442244,0.330789926,0.339610991,1.243770123,0,0.008821065,3.479910025,1.058527764,0.855643276,2.028844882,1.587791646,0,0.701274644,3.021214661,1.773034005,0.207295021,0.044105324,0.008821065,0,0.604242932,0.595421867,0.260221409,0.326379394,0.630706126,19421,3252,22673
A00960.headed.txt,a00960headed,a00960headed-ubiq-tokens.csv,0,2.269308463,25.03545794,0,1.942665578,0.04727726,0.184811106,0.008595865,0.137533846,0,0,0.434091202,0.232088365,0.124640048,0.240684231,1.022907981,0.021489663,0.601710577,0.275067692,0.515751923,0,0.06446899,0.038681394,0.012893798,0.017191731,1.422615722,0.78222375,0.008595865,1.822323462,0,5.458374522,0,0.150427644,0,0.030085529,0.219194567,0.197704904,0,2.634632742,0,0.283663558,0,0.49426226,0.481368462,0.696265096,0.614604375,0.004297933,0.438389135,0.008595865,0.975630722,1.040099712,0.412601539,0,0.915459664,0.975630722,0.017191731,0.257875962,0,0.008595865,0,0.27076976,2.024326299,0.361026346,0.438389135,0.098852452,1.048695577,1.577341299,3.507113079,0.012893798,0.055873125,2.174753943,0,0,1.143250097,0.012893798,0.502858125,0.038681394,1.366742597,0.76503202,0,2.166158078,0,0.055873125,0.71775476,0.017191731,0.04727726,0.189109039,0,0,0.012893798,3.657540723,2.608845145,0.128937981,0.249280096,1.942665578,0.15902351,0.141831779,0.455580866,1.77074827,0,0.012893798,3.305110242,1.560149568,0.743542356,2.024326299,1.534361972,0,0.468474664,2.651824472,1.684789616,0.219194567,0.017191731,0.017191731,0,0.623200241,0.253578029,0.425495337,0.507156058,0.65328577,19594,3673,23267
A00962.headed.txt,a00962headed,a00962headed-ubiq-tokens.csv,0,4.870020257,27.34638758,0,1.89061445,0.046421337,0.185685348,0,0.135043889,0,0,0.286968265,0.392471303,0.122383525,0.227886563,0.687879811,0,0.93264686,0.173024983,0.561276165,0,0,0,0.008440243,0,1.48126266,0.371370695,0,1.734469953,0,3.532241729,0,0.143484132,0,0,0.075962188,0.291188386,0,2.481431465,0,0.156144497,0.012660365,0.894665766,0.308068872,0.738521269,0.544395679,0,0.358710331,0.008440243,0.569716408,1.39686023,0.38403106,0.004220122,0.286968265,1.291357191,0.016880486,0.244767049,0,0,0,0.185685348,1.991897367,0.135043889,0.143484132,0.084402431,0.371370695,1.641627279,1.717589467,0,0.025320729,2.861242404,0.012660365,0,0.649898717,0,0.426232275,0,0.970627954,0.898885888,0.021100608,1.071910871,0,0.067521945,1.076130993,0.063301823,0.067521945,0.531735314,0,0,0.025320729,3.654625253,2.443450371,0.046421337,0.181465226,1.493923025,0.071742066,0.2743079,0.590817016,1.637407157,0.021100608,0.050641458,5.182309251,2.114280891,0.945307225,2.532072924,1.12255233,0,0.599257259,2.295746117,1.519243754,0.375590817,0,0.016880486,0.016880486,1.029709656,0.177245105,0.299628629,0.459993248,0.611917623,20056,3640,23696
A00966.headed.txt,a00966headed,a00966headed-ubiq-tokens.csv,0,2.218230429,23.48567132,0,1.679338291,0.112791378,0.225582755,0.029242209,0.075194252,0,0,0.547247055,0.21305038,0.100259002,0.317486841,0.568134347,0,0.618263848,0.129501211,0.6934581,0.033419667,0.112791378,0.045952043,0.020887292,0.004177458,1.838081711,0.446988052,0,2.126326343,0,4.795722283,0.029242209,0.162920879,0,0.004177458,0.13367867,0.34672905,0,3.57590442,0,0.338374133,0,0.48040772,0.421923302,0.797894561,0.751942518,0.008354917,0.459520428,0.020887292,1.006767483,1.244882613,0.259002423,0.004177458,1.077784276,1.107026485,0.029242209,0.309131924,0,0,0,0.271534798,2.544072186,0.472052803,0.338374133,0.037597126,0.981702732,1.858969003,2.648508647,0.004177458,0.020887292,2.097084134,0,0,1.169688362,0.012532375,0.522182304,0,1.0151224,1.102849027,0.008354917,3.007770073,0,0.029242209,0.764474893,0.142033587,0.016709834,0.342551592,0,0,0.008354917,3.525774919,2.272537388,0.125323753,0.196340546,1.533127245,0.062661877,0.421923302,0.551424513,2.034422258,0.020887292,0.020887292,3.626033921,1.474642827,0.664215891,2.063664467,1.127913777,0,0.781184727,2.005180048,1.704403041,0.363438884,0.033419667,0.008354917,0.029242209,0.63915114,0.359261425,0.271534798,0.689280642,0.969170357,19998,3940,23938
