Name,JonathanPeriod,Genre,Wells Taylor date,Date,FirstPer,SelfDisclosure,SelfReluctance,Autobio,PrivateThinking,Confidence,Uncertainty,Disclosure,Intensity,Immediacy,SubjectiveTime,SubjectivePercept,Positivity,Negativity,Anger,Fear,Sad,Reluctance,Apology,ProjectAhead,PredictedFuture,ProjectBack,Future_in_Past,SenseProperty,SenseObject,SpaceRelation,SceneShift,Motions,DialogCues,OralCues,Promise,Self_Promise,Reassure,Reinforce,Acknowledge,Inclusive,Confront,Precedent,CommonAuthorities,PriorKnowledge,ReceivedPOV,ConfirmedThght,StandardsPos,Innovations,StandardsNeg,Responsibility,ReasonForward,ReasonBackward,DirectReasoning,Support,Contingency,DenyDisclaim,Concessive,Resistance,Curiosity,Request,DirectAddress,Question,Future_Question,OpenQuery,FollowUp,Feedback,PosFeedback,NegFeedback,PersonPronoun,Aside,Generalization,Example,Comparison,Resemblances,Specifiers,Exceptions,Definition,PersonProperty,CommunicatorRole,LangRef,AbstractConcepts,Citations,Quotation,ReportingStates,ReportingEvents,RecurringEvents,GenericEvents,Sequence,MatureProcess,Cause,Transformation,Substitution,Updates,Imperative,Procedures,MoveBody,ConfirmExperience,ErrorRecovery,Insist,Meta_Discourse,Narrative_Verbs,TimeShift,TimeDuration,Biographical_Time,TimeDate
A Midsummer Night's Dream,0,Comedy,1595,1595,2.6,0.77,0,0.2,0.36,0.28,0.46,0.07,0.93,0.56,0.15,1.14,2.07,2.32,0.16,0.17,0.15,0,0,0.69,0.49,0.35,0.01,2.03,4.81,1.45,0.27,1.12,0,0.37,0,0.03,0.03,0,0.04,0.47,0.01,0,0.58,0,0,0.01,1.52,0.01,0.4,0,0.62,0.06,0.01,0,0.87,1.35,0.07,0.89,0.12,0.05,3.42,1.55,0.12,0.01,0,0,0,0,1.47,0.07,0.26,0.01,0.66,0.15,0.61,0.07,0.01,1.55,0.01,0.85,3.53,0.21,0,1.28,3.17,0.16,0.21,0.47,0,0.05,0.16,0.01,0.29,0.31,0.01,0.01,0.01,0,0.49,0.25,0.09,0.16,0.51,0.2,0
KING RICHARD II,2,History,1595,1595,2.79,0.71,0.01,0.21,0.27,0.32,0.3,0.15,1,0.43,0.22,0.81,1.49,2.73,0.14,0.19,0.49,0.02,0,0.78,0.31,0.55,0,1.61,3.78,1.56,0.43,0.81,0,0.25,0,0.01,0.03,0,0.05,0.71,0,0,1.57,0,0,0,2.09,0,0.82,0.03,0.5,0.05,0,0,0.74,1.2,0.1,1.28,0.11,0.03,3.19,1.54,0.11,0.02,0.01,0,0,0,1.61,0.12,0.24,0,0.53,0.13,0.56,0.1,0.01,2.38,0,0.87,4.39,0.35,0,1.5,2.98,0.22,0.24,0.5,0,0.1,0.2,0.01,0.27,0.31,0,0.01,0,0,0.42,0.17,0.11,0.16,0.53,0.12,0.01
KING JOHN,2,History,1596,1596,2.12,0.68,0,0.24,0.26,0.28,0.29,0.12,1.17,0.63,0.14,1.02,1.44,2.56,0.22,0.23,0.24,0,0,0.89,0.44,0.58,0,1.31,3.91,1.54,0.3,0.91,0,0.29,0,0.01,0.03,0,0.02,0.68,0.01,0,1.11,0.01,0.01,0.01,2.12,0,0.79,0.02,0.42,0.02,0.01,0,0.85,1.04,0.07,1.17,0.15,0.05,3.41,1.49,0.09,0.01,0,0,0,0,1.55,0.08,0.17,0.01,0.58,0.13,0.68,0.08,0,2.71,0,0.79,4.44,0.38,0,1.39,2.93,0.23,0.3,0.47,0,0.07,0.21,0.01,0.32,0.31,0.01,0.01,0,0,0.42,0.2,0.09,0.2,0.44,0.12,0
Merchant of Venice,2,Comedy,1596,1596,3.19,0.96,0,0.27,0.38,0.35,0.32,0.11,1.06,0.48,0.17,1.07,1.62,1.78,0.12,0.12,0.15,0.01,0,0.84,0.47,0.5,0,1.11,3.34,1.3,0.33,0.62,0.02,0.43,0,0.03,0.05,0,0.07,0.3,0.01,0,0.87,0,0.04,0.01,1.95,0.01,0.54,0.01,0.56,0.03,0,0,1,1.36,0.08,1.08,0.14,0.06,3.5,1.44,0.1,0.07,0,0,0,0,1.52,0.1,0.18,0,0.73,0.11,0.79,0.05,0.01,2.53,0,0.78,4.04,0.34,0,1.53,3.19,0.18,0.21,0.45,0,0.06,0.22,0.04,0.31,0.32,0.01,0.01,0,0,0.47,0.28,0.12,0.22,0.49,0.16,0.02
1 KING HENRY IV,2,History,1596,1597,2.42,0.74,0,0.24,0.19,0.4,0.3,0.07,1.06,0.58,0.16,0.78,1.14,2.26,0.18,0.2,0.1,0.01,0,0.87,0.4,0.6,0.01,1.31,3.54,1.42,0.27,0.87,0.01,0.61,0,0,0.05,0,0.03,0.65,0,0,1.08,0,0.03,0,1.72,0.01,0.61,0.02,0.4,0.02,0,0.01,0.9,1.21,0.03,1.16,0.15,0.03,3.62,1.88,0.12,0.03,0,0,0,0,1.37,0.06,0.21,0,0.56,0.18,0.7,0.09,0.01,2.51,0,0.92,4.44,0.32,0,1.35,2.77,0.17,0.21,0.4,0,0.05,0.16,0.01,0.38,0.3,0,0.01,0,0,0.34,0.31,0.17,0.16,0.58,0.13,0.06
2 KING HENRY IV,2,History,1597,1597,2.45,0.73,0.01,0.23,0.3,0.4,0.31,0.06,1.02,0.53,0.17,0.81,1.3,2.23,0.11,0.14,0.15,0,0,0.72,0.43,0.67,0,1.7,3.57,1.39,0.26,0.83,0.01,0.48,0,0.01,0.04,0,0.03,0.54,0,0,1.26,0.03,0.01,0,2,0.01,0.56,0.01,0.5,0.03,0,0,0.75,1.12,0.05,0.96,0.12,0.05,3.87,1.58,0.07,0.02,0,0,0.01,0,1.44,0.09,0.2,0.02,0.66,0.15,0.63,0.03,0,3.22,0,0.77,4.26,0.31,0,1.5,2.89,0.15,0.22,0.44,0,0.1,0.27,0.01,0.39,0.37,0.01,0.01,0.01,0,0.5,0.22,0.14,0.17,0.34,0.13,0.01
Merry Wives Of Windsor,0,Comedy,1597,1600,3.13,1.06,0.01,0.26,0.28,0.35,0.25,0.06,0.85,0.41,0.18,0.78,1.55,1.83,0.12,0.1,0.07,0.01,0,0.8,0.71,0.49,0,1.05,3.98,1.33,0.24,0.73,0,0.8,0.01,0.01,0.02,0,0.07,0.31,0.01,0,0.59,0.02,0.02,0.03,1.26,0,0.48,0.02,0.22,0.02,0,0,0.85,1.05,0.08,0.85,0.16,0.04,3.45,2.04,0.12,0.02,0.01,0,0,0,1.99,0.05,0.17,0,0.4,0.14,0.69,0.03,0.01,4.11,0,0.94,3.71,0.37,0,1.7,2.76,0.15,0.26,0.27,0,0.08,0.18,0.01,0.5,0.54,0.02,0,0.02,0,0.46,0.35,0.13,0.13,0.31,0.1,0.02
KING HENRY V,0,History,1598,1598,1.81,0.54,0,0.07,0.33,0.3,0.28,0.1,0.97,0.44,0.16,1,1.24,2.16,0.18,0.13,0.06,0,0,0.73,0.52,0.48,0,1.23,3.83,1.25,0.27,0.85,0.02,0.27,0.01,0.01,0.03,0,0.04,0.89,0.01,0,1.48,0.02,0.04,0.01,2.01,0.01,0.66,0.02,0.47,0.03,0.02,0.01,0.83,0.92,0.09,1.04,0.09,0.04,2.98,1.07,0.12,0.01,0.01,0,0.01,0,1.7,0.07,0.23,0,0.56,0.17,0.8,0.09,0,2.73,0.01,0.82,4.84,0.31,0,1.65,2.81,0.14,0.32,0.42,0,0.1,0.21,0.01,0.33,0.27,0.01,0.01,0.01,0,0.4,0.22,0.13,0.14,0.34,0.16,0.01
Much Ado About Nothing,3,Comedy,1598,1598,2.81,0.93,0.02,0.27,0.31,0.45,0.35,0.12,1.21,0.42,0.13,1.13,1.77,2.05,0.12,0.09,0.25,0,0,0.7,0.63,0.64,0,0.91,2.45,1.1,0.25,0.59,0.01,0.62,0,0,0.02,0,0.1,0.26,0.01,0,0.87,0.01,0.02,0.02,2.21,0,0.57,0.02,0.4,0.04,0.01,0.01,1.11,1.57,0.08,1.15,0.16,0.06,3.9,1.79,0.09,0.04,0,0,0,0,2.01,0.07,0.24,0.02,0.56,0.12,0.74,0.11,0,2.98,0,0.95,3.56,0.38,0,1.5,2.81,0.12,0.32,0.45,0,0.08,0.22,0.01,0.42,0.37,0.01,0.01,0.01,0,0.45,0.25,0.13,0.23,0.31,0.23,0.02
As You Like It,3,Comedy,1599,1599,2.83,0.82,0,0.25,0.31,0.28,0.28,0.05,0.97,0.42,0.18,0.91,2.07,2.01,0.13,0.06,0.28,0.02,0,0.74,0.53,0.76,0,1.24,3.05,1.29,0.22,0.76,0,0.53,0.01,0.01,0.02,0,0.08,0.31,0,0,0.8,0.02,0.02,0.03,1.95,0,0.52,0.01,0.55,0.04,0,0,1.12,1.48,0.1,1.19,0.2,0.11,4.23,1.78,0.11,0.04,0.01,0,0,0,1.84,0.12,0.24,0.02,0.88,0.17,0.7,0.09,0,2.62,0,0.96,3.81,0.34,0,1.65,2.75,0.19,0.25,0.48,0,0.11,0.17,0.01,0.35,0.27,0,0,0.02,0,0.41,0.28,0.17,0.22,0.39,0.17,0.02
